condition,DRUG_NAME,spearman_r,p_value,n_cells,kg_active
DRKG_off,Luminespib,0.42829930374845393,9.663049193573785e-10,187,True
DRKG_off,Leflunomide,0.16958738649617433,0.027044512019315244,170,True
DRKG_off,Temozolomide,0.045123446915160244,0.5375357790084512,189,True
DRKG_off,Staurosporine,0.5423375191906469,6.379915233413073e-16,190,True
DRKG_off,AZD6738,0.39721850537789816,1.9827066545428398e-08,186,True
DRKG_off,Cyclophosphamide,0.11019586085999747,0.13431427938642188,186,True
DRKG_off,Teniposide,0.661424553750789,6.002949357561774e-18,132,True
DRKG_off,Dacarbazine,-0.0038141850114529895,0.9653786858320632,132,True
DRKG_off,Mycophenolic acid,0.4922295701464336,3.2129078977719124e-10,145,True
DRKG_off,Ruxolitinib,0.037533299733602137,0.6259866226466897,171,True
DRKG_off,Osimertinib,0.21421984344185482,0.003324363508408584,186,True
DRKG_off,AZD5438,0.32506809765254385,0.00013470269066649836,133,True
DRKG_off,AT13148,0.14364546592331323,0.04983997684880527,187,True
DRKG_off,Oxaliplatin,0.39493356946951635,1.995344886484e-13,321,True
DRKG_off,Daporinad,0.5937031484257872,2.155943835430503e-12,116,True
DRKG_off,AZD5363,0.19755884917175237,0.00687432681571862,186,True
DRKG_off,MK-8776,0.30884101282583254,1.7951465276358384e-05,186,True
DRKG_off,Topotecan,0.6199381173266266,2.2625121593624672e-15,132,True
DRKG_off,Lapatinib,0.3335519650189303,2.729648185987987e-06,189,True
DRKG_off,LGK974,0.206117250668908,0.004652384217227809,187,True
DRKG_off,Afatinib,0.40500842503345635,8.160364922076917e-09,188,True
DRKG_off,Tamoxifen,0.11004853395745236,0.1348389015595616,186,True
DRKG_off,Dabrafenib,0.19249869969755928,0.008846869347717928,184,True
DRKG_off,Cediranib,0.22898050715887525,0.001668260309058171,186,True
DRKG_off,PRIMA-1MET,0.35683343408992374,1.7845860822346003e-06,170,True
DRKG_off,BI-2536,0.6687471571992901,5.9573193383120255e-25,182,True
