DRUG_ID,DRUG_NAME,drug_key,canonical_smiles,smiles,inchikey,pubchem_cid,has_ChEMBL,has_DRKG,has_PrimeKG
323,merimepodib,BRD-K09372874-001-01-0,COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1-c1cnco1,COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1-c1cnco1,JBPUGFODGPKTDW-SFHVURJKSA-N,,1,0,0
324,SR-57227A,BRD-K09397065-003-06-1,NC1CCN(c2cccc(Cl)n2)CC1,NC1CCN(CC1)c1cccc(Cl)n1,WPVVMKYQOMJPIN-UHFFFAOYSA-N,,0,0,0
325,lovastatin,BRD-K09416995-001-39-9,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,PCZOHLXUXFIOCF-BXMDZJJMSA-N,,1,0,1
326,TAS-103,BRD-K09426783-300-01-0,CN(C)CCNc1nc2cc(O)ccc2c2c1C(=O)c1ccccc1-2,CN(C)CCNc1nc2cc(O)ccc2c2-c3ccccc3C(=O)c12,ROWSTIYZUWEOMM-UHFFFAOYSA-N,,0,0,0
327,PHA-680632,BRD-K09443272-001-03-3,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N3CCN(C)CC3)c2C1,OBWNXGOQPLDDPS-UHFFFAOYSA-N,,0,0,0
328,mibefradil,BRD-K09549677-300-03-4,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,HBNPJJILLOYFJU-VMPREFPWSA-N,,0,0,1
329,forskolin,BRD-K09602097-001-13-6,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C,OHCQJHSOBUTRHG-KGGHGJDLSA-N,,0,0,0
330,VS-4718,BRD-K09877029-001-01-2,CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C(F)(F)F,CNC(=O)c1ccccc1Nc1cc(Nc2ccc(cc2OC)N2CCOCC2)ncc1C(F)(F)F,IGUBBWJDMLCRIK-UHFFFAOYSA-N,,1,0,0
331,caffeic-acid,BRD-K09900591-001-26-7,O=C(O)/C=C/c1ccc(O)c(O)c1,OC(=O)\C=C\c1ccc(O)c(O)c1,QAIPRVGONGVQAS-DUXPYHPUSA-N,,0,0,0
332,dabrafenib,BRD-K09951645-001-06-8,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F,BFSMGDJOXZAERB-UHFFFAOYSA-N,,1,0,1
334,sulfasalazine,BRD-K10670311-001-15-5,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,OC(=O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(=O)Nc1ccccn1,NCEXYHBECQHGNR-QZQOTICOSA-N,,1,0,1
335,GW-405833,BRD-K10705233-001-02-2,COc1ccc2c(c1)c(CCN1CCOCC1)c(C)n2C(=O)c1cccc(Cl)c1Cl,COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1,FSFZRNZSZYDVLI-UHFFFAOYSA-N,,0,0,0
336,temocapril,BRD-K10784860-003-02-3,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@H](c2cccs2)CN(CC(=O)O)C1=O,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@@H](CN(CC(O)=O)C1=O)c1cccs1,FIQOFIRCTOWDOW-BJLQDIEVSA-N,,0,0,1
337,clobetasol-propionate,BRD-K10799896-001-26-2,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CCl,CBGUOGMQLZIXBE-XGQKBEPLSA-N,,1,0,1
338,phenylbutazone,BRD-K10843433-001-22-7,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,VYMDGNCVAMGZFE-UHFFFAOYSA-N,,1,0,1
339,tiludronate,BRD-K10845183-304-01-6,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,OP(O)(=O)C(Sc1ccc(Cl)cc1)P(O)(O)=O,DKJJVAGXPKPDRL-UHFFFAOYSA-N,,0,0,0
340,latanoprost,BRD-K10961822-001-05-1,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1,GGXICVAJURFBLW-CEYXHVGTSA-N,,1,0,1
341,ICI-162846,BRD-K11071038-001-01-7,NC(=O)CCCCn1ccc(/N=C(\N)NCC(F)(F)F)n1,NC(=O)CCCCn1ccc(n1)\N=C(/N)NCC(F)(F)F,ALCSGJCIESECFD-UHFFFAOYSA-N,,0,0,0
342,CPI-1189,BRD-K11073688-001-01-6,CC(=O)Nc1ccc(C(=O)NC(C)(C)C)cc1,CC(=O)Nc1ccc(cc1)C(=O)NC(C)(C)C,DJKNRCWSXSZACF-UHFFFAOYSA-N,,0,0,0
343,norfloxacin,BRD-K11196887-001-22-0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCNCC1,OGJPXUAPXNRGGI-UHFFFAOYSA-N,,1,0,1
344,tazemetostat,BRD-K11215326-001-03-7,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)-c1ccc(CN2CCOCC2)cc1,NSQSAUGJQHDYNO-UHFFFAOYSA-N,,0,0,1
345,ambazone,BRD-K11244467-001-08-5,N=C(N)N=Nc1ccc(NNC(=N)S)cc1,NC(=N)N=Nc1ccc(NNC(S)=N)cc1,HQDSAVMTLKVTGJ-UHFFFAOYSA-N,,0,0,0
346,alectinib,BRD-K11267252-001-04-4,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N1CCC(CC1)N1CCOCC1,KDGFLJKFZUIJMX-UHFFFAOYSA-N,,1,0,1
348,aspirin,BRD-K11433652-001-17-0,CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(O)=O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,,1,0,0
349,teprenone,BRD-K11510141-001-01-8,CC(=O)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,CC(=O)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,HUCXKZBETONXFO-NJFMWZAGSA-N,,0,0,0
350,morin,BRD-K11590034-002-03-4,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,Oc1ccc(c(O)c1)-c1oc2cc(O)cc(O)c2c(=O)c1O,YXOLAZRVSSWPPT-UHFFFAOYSA-N,,0,0,0
351,carmofur,BRD-K11630072-001-13-2,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,AOCCBINRVIKJHY-UHFFFAOYSA-N,,0,0,1
352,JNJ-7706621,BRD-K11636097-001-03-1,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F,KDKUVYLMPJIGKA-UHFFFAOYSA-N,,0,0,0
353,sulfamethazine,BRD-K11640013-236-10-1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,ASWVTGNCAZCNNR-UHFFFAOYSA-N,,1,0,1
354,pyroxamide,BRD-K11663430-001-02-3,O=C(CCCCCCC(=O)Nc1cccnc1)NO,ONC(=O)CCCCCCC(=O)Nc1cccnc1,PTJGLFIIZFVFJV-UHFFFAOYSA-N,,0,0,0
355,pardoprunox,BRD-K11851476-003-01-7,CN1CCN(c2cccc3[nH]c(=O)oc23)CC1,CN1CCN(CC1)c1cccc2[nH]c(=O)oc12,YVPUUUDAZYFFQT-UHFFFAOYSA-N,,1,0,1
356,PJ-34,BRD-K11853856-001-01-7,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,UYJZZVDLGDDTCL-UHFFFAOYSA-N,,0,0,0
