DRUG_NAME,cancer_group,n_total,delta_spearman_mean,delta_auc_mean,mean_auc,alpha_PrimeKG_mean
Trametinib,Pancreatic,30,-0.02313681868743056,-0.013457926,0.8189906666666669,0.5560382473333334
Trametinib,Other,465,-0.049272081043792215,-0.028481305,0.856519935483871,0.5738841335698924
Trametinib,Breast,50,-0.04974789915966382,-0.019629918,0.91267818,0.5641999944
Trametinib,Lung,156,-0.05209337611227893,-0.015716573,0.8706885641025641,0.5757434892948717
Trametinib,Haematological,138,-0.0667551773620062,-0.051651284,0.8469884782608695,0.5862717838405797
Trametinib,Skin,54,-0.07661520869068028,-0.07600333,0.5148476666666668,0.579464792037037
Venetoclax,Skin,54,0.023861254049933223,-0.03441971,0.966008259259259,0.5555445807407408
Venetoclax,Haematological,136,-0.0207862220313918,-0.10357205,0.8023705,0.5527072069117648
Venetoclax,Breast,50,-0.03822328931572627,-0.058025714,0.9594335799999999,0.5389681889999999
Venetoclax,Pancreatic,30,-0.05517241379310345,-0.058085684,0.9586477999999999,0.5296542026666667
Venetoclax,Other,463,-0.05519118308252097,-0.049676824,0.9476457559395249,0.5442693001727862
Venetoclax,Colorectal,46,-0.08165279062596359,-0.07500493,0.9620128695652174,0.5424676393478262
Venetoclax,Lung,154,-0.10409662148456439,-0.055833753,0.9430740974025973,0.5443529433766233
