cancer_type,target_gene,n_cells,mean_delta_auc,frac_sensitising
Acute Myeloid Leukemia,EHF,7,4.888073817710392e-06,0.13380518874216354
Acute Myeloid Leukemia,MAL2,7,4.493788375319647e-06,0.10763527633275531
Acute Myeloid Leukemia,AKR1B1,7,3.266660704477025e-06,0.3960973278200169
Acute Myeloid Leukemia,RPS4Y1,7,3.01890148486044e-06,0.11674419767907163
Acute Myeloid Leukemia,SRGN,7,2.603822780754074e-06,0.13769229914187897
Acute Myeloid Leukemia,MALL,7,2.0857200654843055e-06,0.18227429860833225
Acute Myeloid Leukemia,TIMP3,7,1.7703286273120154e-06,0.20336301187141523
Acute Myeloid Leukemia,S100A9,7,1.180238021853646e-06,0.0501995242541461
Acute Myeloid Leukemia,PLK2,7,6.063861032349191e-07,0.2097427860032902
Acute Myeloid Leukemia,IGFBP5,7,2.6022072623683405e-08,0.1469721221822062
Acute Myeloid Leukemia,RBP1,7,-2.1648312602857394e-07,0.10517790449513138
Acute Myeloid Leukemia,CD79A,7,-1.5459309647017757e-06,0.019082633053221287
Acute Myeloid Leukemia,HCLS1,7,-2.5425809521298755e-06,0.015461184473789516
Acute Myeloid Leukemia,GSTM1,7,-2.6046908325432535e-06,0.20461406784936195
Acute Myeloid Leukemia,FLNC,7,-2.766596870580023e-06,0.08658463385354141
Acute Myeloid Leukemia,TMPRSS4,7,-3.3431549257199677e-06,0.047025754746342976
Acute Myeloid Leukemia,CDA,7,-3.917378697743905e-06,0.10688025210084033
Acute Myeloid Leukemia,TFPI2,7,-4.023595205840788e-06,0.21159158107687517
Acute Myeloid Leukemia,PLAT,7,-4.140512049031843e-06,0.20320961718020542
Acute Myeloid Leukemia,ST14,7,-4.282418688360069e-06,0.11366240940820772
Acute Myeloid Leukemia,TPM2,7,-4.406349684619012e-06,0.3283252189764795
Acute Myeloid Leukemia,FGFR1,7,-4.782582046963009e-06,0.19407040594015385
Acute Myeloid Leukemia,RAMP1,7,-5.1786002066884455e-06,0.2272984193677471
Acute Myeloid Leukemia,MYH14,7,-5.400961916685836e-06,0.057114512471655325
Acute Myeloid Leukemia,CD79B,7,-5.5451450212526e-06,0.016106442577030814
Acute Myeloid Leukemia,UGT1A6,7,-5.745062350927453e-06,0.11058201058201059
Acute Myeloid Leukemia,FGFBP1,7,-5.776434721026037e-06,0.11245748299319727
Acute Myeloid Leukemia,MET,7,-6.295431765985475e-06,0.3090886354541817
Acute Myeloid Leukemia,DDX3Y,7,-6.317477787628637e-06,0.0931547619047619
Acute Myeloid Leukemia,COL9A3,7,-6.722121595105689e-06,0.19564270152505445
Acute Myeloid Leukemia,SERPINA1,7,-7.167494556727304e-06,0.10952575474634298
Acute Myeloid Leukemia,CDH3,7,-7.395873711045299e-06,0.18010204081632653
Acute Myeloid Leukemia,SERPINB5,7,-8.10925718854248e-06,0.029761904761904764
Acute Myeloid Leukemia,COL6A3,7,-8.382367923331913e-06,0.05295173625005557
Acute Myeloid Leukemia,POU2AF1,7,-9.239028128961633e-06,0.00982337379396203
Acute Myeloid Leukemia,SDC1,7,-9.639032733892755e-06,0.2379490685162954
Acute Myeloid Leukemia,CHGA,7,-9.647338759220605e-06,0.0
Acute Myeloid Leukemia,CYBA,7,-9.956524341500231e-06,0.3411706349206349
Acute Myeloid Leukemia,PTPRC,7,-1.0128802776827278e-05,0.02040816326530612
Acute Myeloid Leukemia,EPCAM,7,-1.0665144795244227e-05,0.0962560024009604
Acute Myeloid Leukemia,MAGEA3,7,-1.0844794555201328e-05,0.11037804010493087
Acute Myeloid Leukemia,HMGA2,7,-1.1658698505406001e-05,0.1564439664754791
Acute Myeloid Leukemia,PKP3,7,-1.1669402131328102e-05,0.05596377439864835
Acute Myeloid Leukemia,KRT8,7,-1.2054507806169568e-05,0.0817376950780312
Acute Myeloid Leukemia,CDH11,7,-1.2200326247174026e-05,0.046539449112978526
Acute Myeloid Leukemia,KRT14,7,-1.2538920925310646e-05,0.01603835978835979
Acute Myeloid Leukemia,COL18A1,7,-1.2634803299858635e-05,0.1709517140189409
Acute Myeloid Leukemia,PDLIM1,7,-1.2798497794262533e-05,0.41395558223289314
Acute Myeloid Leukemia,MYEOV,7,-1.2860960331246523e-05,0.17033646792050153
Acute Myeloid Leukemia,GDF15,7,-1.3012395876493038e-05,0.1257419634520475
Acute Myeloid Leukemia,SNCG,7,-1.4601037037209608e-05,0.1005577230892357
Acute Myeloid Leukemia,CLDN3,7,-1.6552801266048584e-05,0.018962585034013605
Acute Myeloid Leukemia,SDC4,7,-1.6728132322896272e-05,0.17210245209194788
Acute Myeloid Leukemia,GTSF1,7,-1.7036912595358444e-05,0.04914604730781202
Acute Myeloid Leukemia,MMP2,7,-1.7175822124824792e-05,0.055240985283002086
