cancer_type,target_gene,n_cells,mean_delta_auc,frac_sensitising
Acute Myeloid Leukemia,LAD1,7,-1.742869920105607e-05,0.07136354541816727
Acute Myeloid Leukemia,SFRP1,7,-1.7658980141277425e-05,0.1210756524832155
Acute Myeloid Leukemia,PLS3,7,-1.767932969544615e-05,0.2216100329020497
Acute Myeloid Leukemia,KIF1A,7,-1.8023490416193715e-05,0.03829476234938419
Acute Myeloid Leukemia,MAPK3,7,-1.815614509074034e-05,0.36585939931528166
Acute Myeloid Leukemia,OLFM1,7,-1.827163409221352e-05,0.08659797252234226
Acute Myeloid Leukemia,IGHM,7,-1.878501734609017e-05,0.002976190476190476
Acute Myeloid Leukemia,TGFBI,7,-1.8874403411116092e-05,0.1357957071717576
Acute Myeloid Leukemia,GAL,7,-1.8932898456114344e-05,0.10933956916099774
Acute Myeloid Leukemia,TNS4,7,-1.9280808114022614e-05,0.04524587612822907
Acute Myeloid Leukemia,CSAG1,7,-1.9973604659233907e-05,0.1277686074429772
Acute Myeloid Leukemia,GYPC,7,-2.019333019883821e-05,0.0910252990084923
Acute Myeloid Leukemia,KYNU,7,-2.024983057578668e-05,0.13901143790849674
Acute Myeloid Leukemia,ANXA8L1,7,-2.1709882275899872e-05,0.02347883597883598
Acute Myeloid Leukemia,ARHGAP4,7,-2.185909703809687e-05,0.1414754790805211
Acute Myeloid Leukemia,CST6,7,-2.1986915856229772e-05,0.06702569916855632
Acute Myeloid Leukemia,KRT13,7,-2.2045998905793696e-05,0.0141156462585034
Acute Myeloid Leukemia,MGP,7,-2.2137510703552315e-05,0.09878034547152194
