DRUG_NAME,DRUG_ID,cancer_group,n_cells,mean_AUC,mean_auc_hat,alpha_ChEMBL,alpha_PrimeKG,n_sensitive_pred,pct_sensitive
Cyclophosphamide,1512,Skin,54,0.9751986666666667,0.8748534253703704,0.6342884998148148,0.3657115066666667,0,0.0
Cyclophosphamide,1512,Pancreatic,30,0.9720947333333334,0.8777400943333333,0.665936226,0.3340637806666667,0,0.0
Cyclophosphamide,1512,Breast,50,0.9758067800000001,0.8830072524000001,0.6328217398,0.367178269,0,0.0
Cyclophosphamide,1512,Colorectal,46,0.9774694130434783,0.8854138360869566,0.60237005,0.3976299552173913,0,0.0
Cytarabine,1006,Haematological,106,0.6674483773584905,0.6461370087735849,0.3507480929245283,0.6492519196226416,71,0.6698113207547169
Cytarabine,1006,Other,362,0.8872335773480663,0.8171402510497237,0.38230859632596687,0.6176914105248619,50,0.13812154696132597
Cytarabine,1006,Pancreatic,29,0.917187275862069,0.8401814072413792,0.40367469586206894,0.5963253000000001,0,0.0
Cytarabine,1006,Colorectal,42,0.8809852857142857,0.8423910361904762,0.35561726714285713,0.6443827411904761,1,0.023809523809523808
Cytarabine,1006,Skin,31,0.8768258387096775,0.8431225051612903,0.3988663022580645,0.6011337129032258,4,0.12903225806451613
Cytarabine,1006,Lung,111,0.9034098198198198,0.8481693698198198,0.37266379063063065,0.6273362146846846,8,0.07207207207207207
Cytarabine,1006,Breast,45,0.9339312222222222,0.9008556824444445,0.3687887464444444,0.6312112646666667,2,0.044444444444444446
Dacarbazine,1815,Haematological,107,0.9770307570093458,0.8517910249532711,0.44198819691588787,0.5580118055140186,1,0.009345794392523364
Dacarbazine,1815,Other,339,0.9674346784660767,0.9017721898230089,0.49775512896755164,0.502244878879056,0,0.0
Dacarbazine,1815,Skin,31,0.9739369032258064,0.9037186209677419,0.4763374196774193,0.5236625838709678,0,0.0
Dacarbazine,1815,Lung,108,0.9671123333333334,0.910022281388889,0.4908561013888889,0.5091439058333334,0,0.0
Dacarbazine,1815,Pancreatic,25,0.9688610799999999,0.9126172208,0.5335408128,0.46645918880000004,0,0.0
Dacarbazine,1815,Breast,42,0.9711631666666667,0.9169987704761905,0.4954041519047619,0.5045958542857143,0,0.0
Dacarbazine,1815,Colorectal,46,0.9655063695652174,0.9218556065217391,0.4614551254347826,0.5385448891304349,0,0.0
Elephantin,1835,Haematological,107,0.8127463364485982,0.878988156728972,0.0,0.0,0,0.0
Elephantin,1835,Other,339,0.884782994100295,0.8961159586430679,0.0,0.0,0,0.0
