DRUG_NAME,drug_id,source,target_name,relation,edge_type,alpha_source,n_drug_cells
Ruxolitinib,1507,ChEMBL,721,INHIBITOR,has_action_type,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,754,INHIBITOR,acts_on_target,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,722,SINGLE PROTEIN,target_has_target_type,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,755,Tyrosine-protein kinase JAK1 inhibitor,drug_has_mechanism,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,754,Tyrosine-protein kinase JAK1 inhibitor,mechanism_targets_target,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,756,INHIBITOR,action_type_target,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,756,INHIBITOR,acts_on_target,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,722,SINGLE PROTEIN,target_has_target_type,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,757,Tyrosine-protein kinase JAK2 inhibitor,drug_has_mechanism,0.3716292737257143,875
Ruxolitinib,1507,ChEMBL,756,Tyrosine-protein kinase JAK2 inhibitor,mechanism_targets_target,0.3716292737257143,875
Ruxolitinib,1507,PrimeKG,1010,enzyme,drug_protein,0.6283707336228572,875
Ruxolitinib,1507,PrimeKG,1183,target,drug_protein,0.6283707336228572,875
Ruxolitinib,1507,PrimeKG,1206,target,drug_protein,0.6283707336228572,875
Cisplatin,1005,ChEMBL,796,INHIBITOR,action_type_target,0.5442025423149394,743
Cisplatin,1005,ChEMBL,721,INHIBITOR,has_action_type,0.5442025423149394,743
Cisplatin,1005,ChEMBL,798,DNA inhibitor,drug_has_mechanism,0.5442025423149394,743
Cisplatin,1005,PrimeKG,975,carrier,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,979,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,983,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,986,enzyme,drug_protein,0.45579746493943474,743
