hgnc_symbol,expression
CARD16,4.557
BSPRY,0.0704
TBX2,5.5604
KHDRBS3,3.9607
MYC,6.6728
GPC4,2.8914
PNMA8A,0.2141
TLE2,0.4114
PROS1,5.9939
TNFRSF19,5.9807
TRAF3IP3,0.5558
SEMA3F,0.3896
PRR15L,0.1375
CYB561,4.153
PDPN,0.0
FMNL1,0.774
SLC22A17,0.3103
ISYNA1,4.5771
MPDZ,4.4222
DOCK10,4.7682
CCDC69,0.5261
CDKN1A,4.2157
PDE10A,4.7527
DSC2,0.0286
NPIPA8,2.1177
ERBB2,4.0557
CDH6,0.0
DUSP5,2.7634
LHFPL6,4.546
NEBL,3.8866
GPR176,3.1227
DLX5,0.7485
KDM5D,0.3785
NTS,0.1506
TJP3,0.0704
MTAP,5.9816
PHLDB1,5.5201
PAM,5.2456
CITED4,4.406
ADAM12,0.7485
PIR,7.3562
SEMA7A,2.3161
HCP5,2.433
VASN,0.856
SULF1,0.0841
MUC20,0.111
ADAM19,4.266
NGFR,1.2016
DOCK8,1.0144
TEAD1,5.3757
CACNA2D1,0.0286
TRPM2,5.5472
GPC3,0.7991
P4HA2,4.4874
STMN2,0.0
BHLHE41,1.7355
BLK,0.0144
HOXB7,5.3771
APBB1,4.7032
FBLN2,0.0286
SUSD3,0.0286
CGREF1,3.8298
MACC1,0.0144
SEL1L3,0.3448
CEMIP,3.269
BHLHE40,5.3923
FGFR3,0.263
LINC00839,3.3533
ALDH3B1,1.3896
FARP1,5.1953
ME3,0.0144
EPB41L1,1.4542
SATB1,0.4542
CELSR1,3.7602
NRSN2,5.5348
SLX1B,6.156
LPAR1,3.6565
EPS8L1,4.0557
LRATD1,0.0144
PSCA,1.3219
LCP2,2.9317
SYP,2.1309
LRP1,3.3074
SERF1A,1.5753
USH1C,0.2141
C2orf74,3.516
LTBP1,0.7049
IL16,6.2649
LZTS1,6.1873
TCEA3,0.1506
SPRY2,5.9333
ABI3BP,0.4114
IL13RA1,5.4433
PARVA,5.7173
DTNA,0.3219
DDAH1,0.3561
TMEM45A,3.1587
CYP27A1,5.6741
LYPD1,6.3695
KIAA0040,2.3477
PLEKHA7,0.1506
LOXL3,4.5765
DMTN,1.373
AK5,6.2578
NRROS,4.218
EPSTI1,0.251
SULT1A1,0.2265
PDGFA,0.4854
BCAN-AS2,2.263
EDN1,0.0144
PVR,4.7655
SLC16A2,0.6041
LYL1,0.1243
CMTM3,5.5963
SECTM1,1.3277
ACAP1,1.8074
SMIM3,6.0966
RHOV,0.2016
FOXD1,3.2048
MAGEC2,2.4195
PSG5,0.0426
RPS2P7,4.0644
STAT6,6.2926
NLRP1,2.7782
MELTF,2.5993
SYNGR1,4.5898
MMP17,6.6545
BNIP3,5.5786
CDH17,0.0
RNF212,1.0841
KITLG,3.5072
NEDD9,4.3212
RPS29P3,0.0
NECTIN4,0.0426
GATA2-AS1,0.0704
IQCJ-SCHIP1,5.0985
PCOLCE2,1.3334
ABCC2,5.8602
STXBP2,3.9345
CXADR,1.0426
PROM1,0.7991
PARVG,0.0426
SPANXB1,0.0704
HSPA2,4.1085
CCL5,0.0976
DPYSL4,4.153
PCP4,0.0566
SNORD22,0.0
PLEKHO1,4.1449
PRUNE2,4.2623
BCAR3,4.1985
GCNT3,0.3448
MEGF6,1.6276
ABLIM1,1.9298
RARRES1,0.3103
HOXB8,1.406
YBX2,0.9709
ZFPM2-AS1,3.2311
HLA-E,6.8795
SEPTIN3,4.3903
CAP2,4.7436
IRX3,3.6053
MAGED1,7.4034
FHOD3,4.0479
IRX2,2.5705
ARMCX1,5.0887
RNF43,2.7803
ASRGL1,3.4568
CBFA2T3,0.0
YBX3,7.0886
LCK,0.0144
H2AC25,3.2675
DUSP1,2.5261
GREM1,0.0841
FER1L4,0.4222
SERPINB9,0.0566
MTARC1,0.0286
NMNAT2,0.1243
ACSS1,5.3858
DSCR8,0.2987
ZNF711,0.0144
GSTO2,0.6135
BIN1,5.0772
UNC5B,0.0426
TOM1L1,5.0295
UACA,5.7401
EPHX1,4.8836
CST7,5.8163
MTSS1,2.9411
PALM2AKAP2,5.3169
LINC00973,2.541
IGHG1,0.0
EPS8L3,0.111
RTL8B,3.3868
LAMA1,4.8339
DLK1,0.0
BICDL2,0.0841
SPIB,0.0566
RNF182,4.7208
CADM4,2.144
LY75,0.0286
TNFRSF10D,0.3448
GNAO1,1.3161
LRRC37A4P,3.4699
OAS3,4.4835
CPXM1,0.8156
CHI3L2,0.111
IL1R1,0.2869
DLX1,4.4627
SEPTIN6,5.155
ATP8B2,5.1056
SLC27A2,0.0566
ATP8B1,0.4647
SP100,5.5826
ZNF528,1.3277
OASL,0.3103
COL9A2,0.1506
CHST15,0.0
RNA5SP216,0.0
CBR1,7.665
MILR1,2.406
ADAM23,0.546
LARGE2,0.3219
CYTL1,0.1506
LPCAT2,6.1759
PTPRZ1,4.7225
CACNA2D4,0.0704
EPHA1,0.7312
GSDMD,5.3118
PRR5L,3.6182
UBA7,3.6747
METRNL,4.3882
NDRG2,4.3484
KCNS3,5.8647
IQGAP2,0.774
PLP1,7.8114
RIMKLB,4.3111
CPQ,4.1227
TGFB1,4.4289
EPHB4,5.0985
GPR160,1.384
COBL,2.6135
NPW,0.7312
KIT,0.6781
GSTT2B,4.7371
PKIA,0.0
STAT5A,3.7824
EVI2A,3.3716
RRAD,0.0704
ZNF608,2.9373
ARHGAP9,0.0704
CD55,3.8146
PLXND1,2.0635
SERPINB7,0.0426
TUBB2A,7.2293
RNF130,6.7221
PTP4A3,0.8074
CRYBG1,4.5577
CYB5R2,1.4005
ZNF542P,1.433
CST1,1.257
MB,0.0
TSPOAP1,0.0426
FOXD1-AS1,1.7908
AXIN2,3.9098
NETO2,4.6943
SELPLG,0.5261
HOTAIRM1,3.8895
ASPHD1,3.7334
DAPP1,0.0426
FGFR4,1.9373
POU2F2,0.3103
PDGFRB,0.0566
HNRNPA1P33,0.0286
SLAMF7,2.9964
PDE1C,1.6182
GASK1B,4.435
ADGRE5,5.3632
AFAP1L2,0.111
CENPV,3.1953
PROSER2,2.5185
CLEC2B,3.4529
MDFIC,6.087
EVI2B,1.7049
GGT1,0.4005
VPREB3,0.2388
RHBDF1,3.7708
RNVU1-18,1.1177
PDGFB,0.0426
BCL2,2.3785
SPTSSB,0.4854
ANXA2P2,4.6135
NFASC,0.189
RRAGD,5.4346
KLHL6,0.0286
BOK,3.0286
CMTM7,6.5159
MAOA,2.7247
RNU1-1,1.1177
RNU1-28P,1.1177
RNU1-3,1.1177
HGF,0.0
MGMT,4.2593
ELL2,2.4436
HAND2,0.0841
MTUS1,4.7142
CASC19,0.5361
PRODH,0.1375
IGSF3,4.8001
CD200,5.1827
ANXA4,6.9003
AFAP1L1,4.9193
TMT1B,1.0
BICC1,3.1326
SHROOM3,0.3334
PPP2R2C,0.0
NECTIN3,4.5777
LAMC1,6.1278
CAPN8,0.2388
A4GALT,0.0144
NCS1,6.3983
ZEB1,0.4647
PADI2,0.0144
RBP7,1.0286
HACD1,6.8386
MT2P1,1.7527
ABCA3,0.4854
ITGB8,4.431
NCF1,0.1506
ELAVL3,0.0426
P2RX5,2.8197
ST3GAL6,6.6906
CDKN2C,5.4575
GBP3,4.8674
NCF2,0.0704
MAPK13,0.4647
RUNDC3A,0.4114
ERAP2,4.7772
ACP5,6.9275
ANK3,0.0566
CD38,0.0286
HNF1B,0.0144
PTPRK,3.5033
FAP,6.1693
NKD2,0.0286
CTBP2,5.8804
SNORA11F,1.5059
PIP5K1B,2.5033
DOK3,2.275
EFS,0.0144
MYH10,6.354
MRAS,5.3132
RNASE1,0.1763
RIPOR2,3.1587
KDF1,0.0841
NEXN,3.0161
CCL3,0.3334
LINC01116,3.2016
GPAT3,4.3709
DNAH14,4.6467
SMOC1,0.0
MSX2,3.263
ATP9A,2.5311
PLEKHB1,2.7004
CARD10,0.926
HAS3,0.9411
ANKRD65,0.0144
CD19,1.4222
PSG4,0.0704
FGF13,4.2494
FAM106A,0.0704
INPP4B,5.7309
TMEM265,0.0704
INHBE,0.111
IGSF9,0.0426
TM4SF18,1.7225
ZBED2,0.0
GSTA4,4.144
PAX6,0.1243
EYA2,0.0144
GABRB3,0.0841
RRAS,3.9146
CCL20,0.9184
SLC29A4,1.1827
CAMK1,0.696
VEPH1,4.0488
ZNF185,1.4699
MVP,6.1422
RN7SL1,11.0095
ZNF532,4.8743
GPX1,8.2174
SYT13,0.0286
POF1B,0.0976
TACC2,1.4854
TSPAN6,4.4222
TRAC,0.0286
RIN2,2.2141
NAV2,4.8298
SEZ6,0.3219
UGT8,2.8972
RCN1,7.1043
STAC,0.5059
CCR7,0.0286
TCIRG1,4.9463
SEMA6B,1.4276
VTRNA2-1,0.0
AFF3,3.0268
CACNA1A,3.7645
ZNF704,3.6311
CGN,0.5558
SHC2,0.4005
NPTX2,0.84
CTXN1,3.5072
REEP2,2.0356
BAIAP2L1,5.6279
DIRAS1,4.8089
CECR7,5.1558
MCOLN2,3.696
ITGB7,0.3448
ATOH8,2.4463
CD163L1,0.1635
STARD10,3.9782
PSD4,0.4751
C1orf21,6.2409
PTK2B,1.0909
SAT1,7.9922
GRAMD2B,4.0391
GNB4,5.0836
ABCG1,0.0144
RAB33A,3.0144
TNFAIP3,4.2311
DLL3,3.5898
VANGL2,2.0036
ZNF880,2.5922
ELAPOR2,0.0426
FRMD4A,6.5231
GJB1,7.2713
SLC35D2,5.017
RASSF8,5.5515
LMO3,0.0
ITGA1,3.5472
SOCS2,4.6276
TTC39A,1.8319
IL1RAP,5.7444
GMPR,7.3025
SLCO1B3,0.0144
PRKAR2B,3.9355
CEBPA,0.0286
PLPPR3,0.0144
SVIL-AS1,5.8502
LNCAROD,0.0286
GPC6,0.8319
PTGS2,1.7004
PTMS,9.0487
CPS1,2.7761
RTL8A,6.3588
HS6ST2,0.275
NTM,5.84
KLHL13,0.6229
COL27A1,3.9317
SLC12A8,0.189
AMOTL1,5.1069
TMEM40,0.0286
GABARAPL1,4.6253
B3GNT5,3.8639
DCT,8.7393
SLC15A3,0.6323
CEACAM1,3.0479
FAM107B,3.275
SOCS3,1.757
MITF,7.7681
SLFN5,4.4751
HERC2P4,4.4744
TNFRSF1A,5.8676
EML1,0.1243
ARNT2,5.189
MANSC1,3.433
SLC2A10,0.9336
A2M,4.1326
THNSL2,0.7137
GJC1,4.6159
KLK11,0.0841
SOX13,5.155
PPP1R16B,0.0426
HOXD11,0.0704
MICA,4.3806
NMRAL2P,2.6159
DUSP2,1.7442
CCN3,6.2598
SLC43A1,4.1635
SPNS2,1.5008
CDC42EP3,5.6035
ATP8A1,0.0976
ARHGEF25,3.373
POGLUT3,5.2559
MXRA8,1.7355
SLCO4A1,6.5569
DEPP1,0.2016
LINC02967,0.0426
ELAPOR1,0.1375
RCC2-AS1,0.0
B3GALNT1,3.1635
ADAM8,0.3561
ATF7IP2,3.9126
TLE4,2.774
PTPRU,2.729
FUT3,0.0144
RAB3B,0.1635
NCALD,1.3334
PCED1B-AS1,0.0286
MMP24,1.144
TYRP1,6.6886
MTSS2,4.2342
MT1A,2.3219
PLCD3,4.0206
SLCO3A1,4.5478
ZIC2,0.9561
ZBED10P,0.275
FABP1,0.0
TYMP,3.7918
MID1,5.0904
ARSJ,2.5607
PCSK6,4.1627
KCTD15,5.9718
PRSS12,2.1043
RASSF2,0.6135
SLC40A1,0.1375
TAFA5,0.275
CA8,2.3978
VLDLR,4.073
NKX2-1,0.0
FOSL2,2.4356
CYP4F11,0.0286
GALM,3.4751
SBK1,0.6323
TRMT9B,1.5311
CNN2,6.5694
CERCAM,5.079
RASAL3,0.0
TSPAN12,0.0286
BICDL1,3.121
DSC3,0.0
FABP5P7,4.7126
NEAT1,6.9047
S1PR4,0.0144
TSPAN5,3.2987
HHEX,2.9745
TNS1,0.5059
CMAHP,0.3448
RNF157,3.266
TOX,0.0286
PIMREG,6.9427
CHRDL1,0.1506
SLC7A2,1.7824
JUN,4.7323
CD274,0.8639
GFRA1,0.0
MAGEH1,3.1938
PRR11-AS1,4.8987
TNFRSF17,0.0286
PTPRN,0.0704
ADORA2B,1.7866
EPHB6,0.251
GAS1,3.5435
PDLIM2,4.6525
NUDT11,3.0531
CLGN,0.0286
VSTM2L,0.1243
PSAT1,7.5858
RUNX1,3.5945
MYRF,0.7049
FAR2P1,0.0
RHOC,8.6017
TMEM176B,0.0144
TMSB15B,4.1747
LINGO1,2.969
PTPRN2,0.0286
SLIT3,0.7049
APOL3,0.2388
HMGN5,4.6685
RASSF5,0.6415
MARCKSL1,8.976
PRNP,8.1826
CBR3,6.7478
GYG2,5.1603
PKD1P5,3.669
FBN2,2.3785
ADAMTS10,0.0286
FAUP4,4.1119
ZYX,6.959
PLXNB3,4.5717
NPTX1,4.0583
IL15RA,0.1506
VIPR1,0.0566
UBD,0.0
RNF207,3.2839
HOXA-AS2,1.3448
SLC12A7,1.7268
TSPO,9.0243
ELOVL2,2.8758
CRACR2B,0.7137
PCSK1,0.0286
PLEKHG4,4.6129
MAGEB2,0.0286
NAV1,4.7687
FIBCD1,0.1763
MGAT5B,2.9709
SH3TC1,2.3045
SPTBN2,3.8379
MPP1,4.3399
SHTN1,4.7038
KRTAP2-3,0.1763
ADAMTS12,0.1243
ROBO3,3.844
KRT20,0.111
PTPN14,4.0985
RUNX2,3.0618
BEND7,1.9222
DCDC2,0.0
SHISA4,4.6508
MOK,4.3291
SKAP1,0.189
SEMA4A,0.1506
CCBE1,0.2987
KIAA1217,2.8875
RNA5S9,0.0
HOMER3,5.6203
PIK3CD,3.8718
FCHO1,1.7225
HAVCR1,0.0
MYO15B,0.6508
SPRY1,2.0286
MCOLN3,7.7708
SAMSN1,0.0
TMC5,0.0841
UPK1B,0.0426
RPS28P7,6.4075
ITM2C,6.8364
MLXIPL,0.0286
PTPN13,3.1077
UNC13A,0.2987
DBNDD1,4.6323
LINC01322,1.251
NRARP,0.0426
ELAVL4,0.0
MLANA,8.3544
THSD4,0.1506
OAF,4.9713
PCBP3,0.3448
BIK,2.2296
LIFR,1.511
GFOD3P,3.3937
TCEAL4,6.8557
LINC03057,0.0566
TOR4A,0.1506
SLC25A27,3.3547
BTNL9,0.1375
EYA4,3.7908
ETV5,7.4683
SEPTIN1,1.2869
FBXO27,2.8012
CNKSR1,0.1506
LIPH,0.3674
CLIP3,0.9855
OSBPL10,2.4087
NPTXR,0.6229
PDE4B,5.1953
GCSAM,0.9561
ARHGEF35,2.7782
EMILIN2,5.3466
CHCHD10,6.6254
ARHGAP22,0.4751
FGD3,0.3219
SNORA17B,2.3868
STON2,0.3561
MIR155HG,1.9449
PARM1,0.0144
TRIM16L,2.8135
NGEF,0.0566
TRIM2,6.094
KRT7-AS,0.0
FADS1,5.0721
GPM6B,6.3438
IL4R,1.1309
