DRUG_ID,DRUG_NAME,gene_name,n_cells,mean_delta_auc,std_delta_auc,abs_mean_delta_auc,frac_sensitising,is_known_target,rank_sensitising
1067,CCT007093,LDHB,186,0.0004110496665816754,0.0004882945213466883,0.0005275709554553032,0.0,False,6
1067,CCT007093,NEAT1,186,0.0004028154071420431,0.0004624512803275138,0.00048946583410725,0.0,False,7
1067,CCT007093,CNN2,186,0.00038352192495949566,0.0003715427010320127,0.00044256256660446525,0.0,False,8
1067,CCT007093,TNFRSF1A,186,0.0003832106012851,0.00035827356623485684,0.00044261879520490766,0.0,False,9
1067,CCT007093,EPB41L2,186,0.0003665352414827794,0.0002628289512358606,0.00037993668229319155,0.0,False,10
1067,CCT007093,MTSS2,186,0.00036556905251927674,0.00028871578979305923,0.00040843922761268914,0.0,False,11
1067,CCT007093,MT2A,186,0.0003619939088821411,0.000301193242194131,0.0003965754876844585,0.0,False,12
1067,CCT007093,ENC1,186,0.0003549317189026624,0.00025763438316062093,0.00037373986560851336,0.0,False,13
1067,CCT007093,TNFRSF21,186,0.0003547722881194204,0.00025626138085499406,0.0003676741325762123,0.0,False,14
1067,CCT007093,MT1X,186,0.00034736754605546594,0.00031916925217956305,0.0003832085058093071,0.0,False,15
1067,CCT007093,ADGRE5,186,0.0003468791546765715,0.0002668987726792693,0.0003624378878157586,0.0,False,16
1067,CCT007093,PLCD3,186,0.00034268281888216734,0.00027818381204269826,0.00036161273601464927,0.0,False,17
1067,CCT007093,JUN,186,0.00033363891998305917,0.0003234162868466228,0.000387837179005146,0.0,False,18
1067,CCT007093,TCEAL4,186,0.00033028615871444345,0.00038116026553325355,0.0004137688665650785,0.0,False,19
1067,CCT007093,RHOC,186,0.00032611447386443615,0.00038121629040688276,0.00040841344161890447,0.0,False,20
1083,Crizotinib,SAT1,189,0.0008262465125881135,0.00043682873365469277,0.0008267302764579654,0.0,False,1
1083,Crizotinib,JUN,189,0.0004955478361807764,0.0003504289488773793,0.0005181102314963937,0.0,False,2
1083,Crizotinib,ITM2C,189,0.0004443100478965789,0.00038617581594735384,0.0004875398299191147,0.0,False,3
1083,Crizotinib,RHOBTB3,189,0.00042124022729694843,0.00030731476726941764,0.0004375832504592836,0.0,False,4
1083,Crizotinib,YBX3,189,0.00042056533857248724,0.00041583256097510457,0.0004903809749521315,0.0,False,5
1083,Crizotinib,LDHB,189,0.00041127740405499935,0.0005204000626690686,0.0005297462339513004,0.0,False,6
1083,Crizotinib,CNN2,189,0.0003941459581255913,0.00042435675277374685,0.0004683010920416564,0.0,False,7
1083,Crizotinib,MT2A,189,0.00038211795617826283,0.0003019771247636527,0.00041149515891447663,0.0,False,8
1083,Crizotinib,SLCO4A1,189,0.0003775246150325984,0.00027747341664507985,0.00040531205013394356,0.0,False,9
1083,Crizotinib,FXYD5,189,0.0003748332674149424,0.0002513811632525176,0.00038928628782741725,0.0,False,10
1083,Crizotinib,GLUL,189,0.000372307316865772,0.0003111542609985918,0.0003977023879997432,0.0,False,11
1083,Crizotinib,MTSS2,189,0.00037098341272212565,0.00029103783890604973,0.0004089089925400913,0.0,False,12
1083,Crizotinib,UPP1,189,0.0003707976429723203,0.00018927815835922956,0.00037224203697405756,0.0,False,13
1083,Crizotinib,DBNDD2,189,0.0003566865052562207,0.00025416785501874983,0.0003755571960937232,0.0,False,14
1083,Crizotinib,ADORA2B,189,0.00035034853499382734,0.0001937890483532101,0.00035461390507407486,0.0,False,15
1083,Crizotinib,ANXA2,189,0.0003481449093669653,0.00034086909727193415,0.00039728215779177845,0.0,False,16
1083,Crizotinib,ID3,189,0.00034707027953118086,0.0003691428864840418,0.00040801617433317006,0.0,False,17
1083,Crizotinib,PSAT1,189,0.0003308657032903284,0.0005294573493301868,0.0005071850609965622,0.0,False,18
1083,Crizotinib,TNFRSF21,189,0.0003279296215623617,0.0002534103696234524,0.000351721333572641,0.0,False,19
1083,Crizotinib,PHGDH,189,0.0003277348878327757,0.00042703686631284654,0.000422305689426139,0.0,False,20
1149,TW 37,SAT1,75,0.0006462546298280358,0.0004376471333671361,0.0006830076454207301,0.0,False,1
1149,TW 37,LDHB,75,0.000601555104367435,0.0005362470401450992,0.0006731291650794446,0.0,False,2
1149,TW 37,ITM2C,75,0.00044578712549991906,0.0003622476360760629,0.00048768759006634355,0.0,False,3
1149,TW 37,CNN2,75,0.000415742804761976,0.0003754953795578331,0.00047179340617731214,0.0,False,4
1149,TW 37,JUN,75,0.00040124813676811755,0.0003250142326578498,0.00043957153684459627,0.0,False,5
1149,TW 37,TNFRSF1A,75,0.0003713333571795374,0.0003654863976407796,0.0004393160343170166,0.0,False,6
1149,TW 37,HSPB1,75,0.0003711223544087261,0.0004012134450022131,0.0004226159944664687,0.0,False,7
1149,TW 37,COTL1,75,0.0003675941552501172,0.0003335373767185956,0.00042327045230194926,0.0,False,8
1149,TW 37,ANXA2,75,0.00035595655208453536,0.0003489844675641507,0.0004209287872072309,0.0,False,9
1149,TW 37,YBX3,75,0.00035150290932506323,0.0004291174409445375,0.00044865289237350225,0.0,False,10
1149,TW 37,PSAT1,75,0.00034968575346283615,0.0005379186477512121,0.000494848471134901,0.0,False,11
1149,TW 37,PLCD3,75,0.000349130219547078,0.00027415258227847517,0.0003732677432708442,0.0,False,12
1149,TW 37,EPB41L2,75,0.0003385822055861354,0.00028800798463635147,0.0003699318622238934,0.0,False,13
1149,TW 37,MT2A,75,0.0003259519871789962,0.0002931675408035517,0.00036496916436590254,0.0,False,14
1149,TW 37,MTSS2,75,0.0003252601600252092,0.0003018577117472887,0.0003767863963730633,0.0,False,15
1149,TW 37,SLCO4A1,75,0.000322418607538566,0.0002751790452748537,0.00036203741910867393,0.0,False,16
1149,TW 37,PLS3,75,0.00032213408849202096,0.0002513839863240719,0.0003408578922972083,0.0,False,17
1149,TW 37,TNFRSF21,75,0.000321032217470929,0.00026592769427224994,0.0003624447272159159,0.0,False,18
1149,TW 37,UPP1,75,0.0003185975656379014,0.00019642297411337495,0.0003298175288364291,0.0,False,19
1149,TW 37,RHOC,75,0.0003137262538075447,0.0004173935449216515,0.0004303669848013669,0.0,False,20
1168,Erlotinib,SAT1,185,0.0006208908744156361,0.0006295957136899233,0.0007352039101533592,0.0,False,1
1168,Erlotinib,NEAT1,185,0.0005043545388616621,0.0005683209164999425,0.0006140201585367322,0.0,False,2
1168,Erlotinib,YBX3,185,0.0004989362205378711,0.0005939596449024975,0.0006113006384111941,0.0,False,3
1168,Erlotinib,DBNDD2,185,0.0004807400400750339,0.00034700302057899535,0.000504805997479707,0.0,False,4
1168,Erlotinib,JUN,185,0.00046843764721415937,0.000395593378925696,0.0005035491194576025,0.0,False,5
1168,Erlotinib,MT2A,185,0.0004405869694892317,0.0003118982713203877,0.00046138063771650195,0.0,False,6
1168,Erlotinib,TCEAL4,185,0.0004160802927799523,0.00043950427789241076,0.000490519916638732,0.0,False,7
1168,Erlotinib,MTSS2,185,0.00041406776290386915,0.00034657662035897374,0.0004593026824295521,0.0,False,8
1168,Erlotinib,CST3,185,0.00040766532765701413,0.0004033415170852095,0.00047175513464026153,0.0,False,9
1168,Erlotinib,ADGRE5,185,0.00039955860120244324,0.0002988334745168686,0.0004163490666542202,0.0,False,10
1168,Erlotinib,CKAP4,185,0.00037446722853928804,0.00024828812456689775,0.00039238229510374367,0.0,False,11
1168,Erlotinib,BCAR3,185,0.00037204608088359237,0.00024418075918219984,0.0003842437581624836,0.0,False,12
1168,Erlotinib,CTSZ,185,0.0003709824522957206,0.000334030541125685,0.00041269909706898034,0.0,False,13
1168,Erlotinib,PON2,185,0.00036414951318874955,0.00037234698538668454,0.0004380194586701691,0.0,False,14
1168,Erlotinib,BEX3,185,0.00035074265906587243,0.000279129104455933,0.0003724952694028616,0.0,False,15
1168,Erlotinib,ANXA2,185,0.0003438967978581786,0.0003882541204802692,0.00041299971053376794,0.0,False,16
1168,Erlotinib,MICA,185,0.00033819416421465576,0.0003092032566200942,0.0003767337475437671,0.0,False,17
1168,Erlotinib,TNFRSF21,185,0.00033592735417187214,0.00029482736135832965,0.00037742231506854296,0.0,False,18
1168,Erlotinib,TNFRSF1A,185,0.0003269179433118552,0.0004431077977642417,0.0004627300368156284,0.0,False,19
1168,Erlotinib,ADORA2B,185,0.0003266920102760196,0.00021203150390647352,0.00033594941487535834,0.0,False,20
1179,MK-1775,SAT1,189,0.0007635368965566158,0.00046510586980730295,0.0007951630395837128,0.0,False,1
1179,MK-1775,JUN,189,0.0005558705306611955,0.0003662944072857499,0.0005711201811209321,0.0,False,2
1179,MK-1775,TCEAL4,189,0.0005110909114591777,0.0004153571790084243,0.0005409828154370189,0.0,False,3
1179,MK-1775,ANXA2,189,0.0004981013480573893,0.00036158307921141386,0.0005367078119888902,0.0,False,4
1179,MK-1775,MT2A,189,0.0004630188050214201,0.0003139679320156574,0.0004839621251448989,0.0,False,5
1179,MK-1775,MT1X,189,0.00045425392454490066,0.0003398616099730134,0.00047535650082863867,0.0,False,6
1179,MK-1775,MTSS2,189,0.0004185386060271412,0.0002971263893414289,0.0004558407235890627,0.0,False,7
1179,MK-1775,ADORA2B,189,0.0003954429121222347,0.00022584824182558805,0.00040054431883618236,0.0,False,8
1179,MK-1775,FXYD5,189,0.0003914459375664592,0.00026912157773040235,0.00041018196498043835,0.0,False,9
1179,MK-1775,LY6E,189,0.0003781947889365256,0.0003965728683397174,0.0004343082837294787,0.0,False,10
1179,MK-1775,TNFRSF21,189,0.0003767301968764514,0.00027457615942694247,0.00041229400085285306,0.0,False,11
1179,MK-1775,PRNP,189,0.000373948976630345,0.0004265936731826514,0.0004591735196299851,0.0,False,12
