GDSC_DRUG_ID,DRUG_ID,DRUG_NAME,canonical_name,SMILES,canonical_SMILES,InChIKey,ChEMBL_node_id,has_ChEMBL,graph_degree_ChEMBL,source_weight_ChEMBL,DRKG_node_id,has_DRKG,graph_degree_DRKG,source_weight_DRKG,PrimeKG_node_id,has_PrimeKG,graph_degree_PrimeKG,source_weight_PrimeKG,n_cells,spearman,pcc,mean_auc_hat,mean_AUC,coverage_group,total_kg_degree,is_focal,alpha_ChEMBL,alpha_DRKG,alpha_PrimeKG
1835,1835,Elephantin,elephantin,CC(=CC(=O)OC1CC2=CC(CC3(C(O3)C4C1C(=C)C(=O)O4)C)OC2=O)C,C=C1C(=O)OC2C1C(OC(=O)C=C(C)C)CC1=CC(CC3(C)OC23)OC1=O,HSTUUCOYVIWGLJ-UHFFFAOYSA-N,495,0,0.0,0.0,496,0,0.0,0.0,497,0,0.0,0.0,698.0,0.49446339787686566,0.519246653023026,0.8975573452865331,0.877861346704871,No KG,0.0,False,0.0,0.0,0.0
1873,1873,Buparlisib,buparlisib,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,CWHUFRVAEUJCEF-UHFFFAOYSA-N,528,1,6.0,1.0,529,0,0.0,0.0,530,0,0.0,0.0,933.0,0.466698815540754,0.4769807148627521,0.8728224359056806,0.7502061350482315,ChEMBL only,6.0,False,1.0,0.0,0.0
1908,1908,Ulixertinib,ulixertinib,CC(C)NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)Cl,CC(C)Nc1cc(-c2c[nH]c(C(=O)NC(CO)c3cccc(Cl)c3)c2)c(Cl)cn1,KSERXGMCDHOLSS-UHFFFAOYSA-N,531,0,0.0,0.0,532,0,0.0,0.0,533,0,0.0,0.0,933.0,0.6140904186259276,0.7161426135417889,0.9105379660664523,0.874064293676313,No KG,0.0,False,0.0,0.0,0.0
1909,1909,Venetoclax,venetoclax,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,LQBVNQSMGBZMKD-UHFFFAOYSA-N,534,1,12.0,1.0,535,0,0.0,0.0,536,1,16.0,1.0,933.0,0.4539931676049224,0.6131996591162056,0.8670789558842443,0.9284715273311896,ChEMBL+PrimeKG,28.0,True,0.4546772072990354,0.0,0.5453228013933548
1919,1919,Osimertinib,osimertinib,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,DUYJMQONPNNFPI-UHFFFAOYSA-N,558,1,6.0,1.0,559,0,0.0,0.0,560,1,22.0,1.0,932.0,0.32107232060204105,0.29053355159932587,0.9104206354077253,0.9353072478540773,ChEMBL+PrimeKG,28.0,True,0.4879985186051502,0.0,0.5120014871137339
1927,1927,GSK2578215A,gsk2578215a,C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3=CC(=NC=C3)F)C(=O)NC4=CN=CC=C4,O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,WCIGMFCFPXZRMQ-UHFFFAOYSA-N,573,0,0.0,0.0,574,0,0.0,0.0,575,0,0.0,0.0,933.0,0.16109384719908057,0.1956112387735738,0.8593479054019293,0.9698692336548768,No KG,0.0,False,0.0,0.0,0.0
1936,1936,Savolitinib,savolitinib,CC(C1=CN2C=CN=C2C=C1)N3C4=NC(=CN=C4N=N3)C5=CN(N=C5)C,CC(c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,XYDNMOZJKOGZLS-UHFFFAOYSA-N,591,1,6.0,1.0,592,0,0.0,0.0,593,0,0.0,0.0,932.0,0.14741910517157514,0.0401792123776411,0.880183066083691,0.9690809957081545,ChEMBL only,6.0,False,1.0,0.0,0.0
1996,1996,MIM1,mim1,CC1=CSC(=NC2CCCCC2)N1N=CC3=C(C(=C(C=C3)O)O)O,Cc1csc(=NC2CCCCC2)n1N=Cc1ccc(O)c(O)c1O,RGGFUBMUOVFZEF-UHFFFAOYSA-N,603,0,0.0,0.0,604,0,0.0,0.0,605,0,0.0,0.0,726.0,0.31093115194681914,0.3719240386287476,0.8500345440771351,0.9368986473829201,No KG,0.0,False,0.0,0.0,0.0
2011,2011,ICL-SIRT078,icl sirt078,COC1=C(C2=CC=CC=C2C=C1)CN3C=NC4=C(C3=O)C5=C(S4)CC(CC5)NCC6=CN=CC=C6,COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cccnc1)C3,UEJBOCXPGHSONP-UHFFFAOYSA-N,612,0,0.0,0.0,613,0,0.0,0.0,614,0,0.0,0.0,723.0,0.21903341680753582,0.17560380140545334,0.9415269445781466,0.9457744149377595,No KG,0.0,False,0.0,0.0,0.0
2039,2039,AGK2,agk2,C1=CC2=C(C=CC=N2)C(=C1)NC(=O)C(=CC3=CC=C(O3)C4=C(C=CC(=C4)Cl)Cl)C#N,N#CC(=Cc1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12,SVENPFFEMUOOGK-UHFFFAOYSA-N,618,0,0.0,0.0,619,0,0.0,0.0,620,0,0.0,0.0,909.0,0.22969972452061324,0.2298427428089825,0.9043968117271727,0.9504972805280528,No KG,0.0,False,0.0,0.0,0.0
2057,2057,Remodelin,remodelin,C1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)C#N)C1,N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,XAEJIFARBQJLML-UHFFFAOYSA-N,642,0,0.0,0.0,643,0,0.0,0.0,644,0,0.0,0.0,362.0,-0.18598716801704207,-0.1791756315249082,0.8818450573756906,0.9070138314917128,No KG,0.0,False,0.0,0.0,0.0
2096,2096,VX-11e,vx 11e,CC1=CN=C(N=C1C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,WUTVMXLIGHTZJC-UHFFFAOYSA-N,645,0,0.0,0.0,646,0,0.0,0.0,647,0,0.0,0.0,929.0,0.5666090675585718,0.6594436008946617,0.9268947591819161,0.869006118406889,No KG,0.0,False,0.0,0.0,0.0
2110,2110,GSK591,gsk591,C1CC(C1)NC2=NC=CC(=C2)C(=O)NCC(CN3CCC4=CC=CC=C4C3)O,O=C(NCC(O)CN1CCc2ccccc2C1)c1ccnc(NC2CCC2)c1,TWKYXZSXXXKKJU-UHFFFAOYSA-N,654,0,0.0,0.0,655,0,0.0,0.0,656,0,0.0,0.0,929.0,0.20554031308469034,0.20402238104782158,0.9152100212486545,0.9515915489773952,No KG,0.0,False,0.0,0.0,0.0
2171,2171,BMS-754807,bms 754807,CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F,CC1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1,LQVXSNNAFNGRAH-UHFFFAOYSA-N,684,1,22.0,1.0,685,0,0.0,0.0,686,0,0.0,0.0,925.0,0.4557658458303579,0.40380478118559665,0.896419345654054,0.8094673783783785,ChEMBL only,22.0,False,1.0,0.0,0.0
2172,2172,JQ1,jq1,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=NC(CC(=O)OC(C)(C)C)c1nnc(C)n1-2,DNVXATUJJDPFDM-UHFFFAOYSA-N,687,0,0.0,0.0,688,0,0.0,0.0,689,0,0.0,0.0,925.0,0.717196950304252,0.7739952033185722,0.8192435606594595,0.7981973286486487,No KG,0.0,False,0.0,0.0,0.0
