DRUG_ID,DRUG_NAME,source_ablated,n_cells,delta_auc_mean,delta_auc_std,delta_auc_abs_mean,baseline_spearman,ko_spearman,delta_spearman,has_ChEMBL,has_PrimeKG
1909,Venetoclax,PrimeKG,933,-0.0006575191,0.0063673467,0.0042663473,0.4538785997905594,0.4549424152858172,-0.0010638154952578027,1.0,1.0
1048,Mirin,PrimeKG,871,0.0,0.0,0.0,0.5696154406369774,0.5696154406369774,0.0,0.0,0.0
1835,Elephantin,PrimeKG,698,0.0,0.0,0.0,0.494900357940796,0.494900357940796,0.0,0.0,0.0
1806,Oxaliplatin,PrimeKG,698,-0.015568465,0.020366004,0.019183172,0.493741789906399,0.505128180676059,-0.011386390769660026,,
1786,AZD4547,PrimeKG,934,0.0,0.0,0.0,0.25006093856951095,0.25006093856951095,0.0,0.0,0.0
1259,Talazoparib,PrimeKG,931,-0.0013414823,0.0092122555,0.006307976,0.4558584966589044,0.4018777541687362,0.053980742490168154,1.0,1.0
2057,Remodelin,PrimeKG,362,0.0,0.0,0.0,-0.18590988748726442,-0.18590988748726442,0.0,0.0,0.0
1996,MIM1,PrimeKG,726,0.0,0.0,0.0,0.3107934984426409,0.3107934984426409,0.0,0.0,0.0
2039,AGK2,PrimeKG,909,0.0,0.0,0.0,0.22948665775208482,0.22948665775208482,0.0,0.0,0.0
1825,Podophyllotoxin bromide,PrimeKG,698,0.0,0.0,0.0,0.5712382303322077,0.5712382303322077,0.0,0.0,0.0
1560,Alpelisib,PrimeKG,940,-0.0015060161,0.008990927,0.005611674,0.4854155143511268,0.4968827716566841,-0.01146725730555731,1.0,1.0
1576,IWP-2,PrimeKG,870,0.0,0.0,0.0,0.0925755076890603,0.0925755076890603,0.0,0.0,0.0
1192,GSK269962A,PrimeKG,260,0.0,0.0,0.0,0.16979305049910814,0.16979305049910814,0.0,0.0,0.0
2171,BMS-754807,PrimeKG,925,0.0,0.0,0.0,0.45569923157342634,0.45569923157342634,0.0,1.0,0.0
1243,Piperlongumine,PrimeKG,217,0.0,0.0,0.0,0.40766616402899325,0.40766616402899325,0.0,0.0,0.0
1067,CCT007093,PrimeKG,913,0.0,0.0,0.0,-0.15678077959114534,-0.15678077959114534,0.0,0.0,0.0
2172,JQ1,PrimeKG,925,0.0,0.0,0.0,0.7172216595055646,0.7172216595055646,0.0,0.0,0.0
1149,TW 37,PrimeKG,368,0.0,0.0,0.0,0.24486295597466104,0.24486295597466104,0.0,0.0,0.0
