gene_name,drug_family,mean_delta_family,mean_delta_background,specificity_score,is_family_target,n_family_drugs,n_background_drugs
CCND1,PARP_inhibitors,0.0014625679468736053,0.0019235458283219486,0.7599548555041937,False,3,30
MYC,EGFR_inhibitors,0.0035685323333988586,0.004750946699641645,0.7509621969598206,False,3,30
BCL2A1,EGFR_inhibitors,0.0005144581664353609,0.0006844341978042696,0.7505580668186443,False,3,30
MYC,MTOR_inhibitors,0.003550672670826316,0.004750946699641645,0.747203808303254,False,2,30
NOTCH3,PARP_inhibitors,0.000983428753291567,0.001331547482792909,0.7380065370956854,False,3,30
CDKN1A,EGFR_inhibitors,0.004646075579027335,0.006304058774063984,0.7368806137286272,False,3,30
EGFR,CDK46_inhibitors,0.001431177486665547,0.0019493516398749005,0.7338048469851035,False,1,30
MAPK13,BRAF_inhibitors,0.001685300492681563,0.002302401652559638,0.7316572386794917,False,1,30
ERBB2,PI3K_inhibitors,0.003440890577621758,0.004705272692566116,0.7311286026959047,False,2,30
MGMT,PARP_inhibitors,0.0021338893566280603,0.0029430128866806625,0.7248233750206147,False,3,30
ERBB3,BRAF_inhibitors,0.0011190110817551613,0.0015459502639714629,0.7233659076293381,False,1,30
FGFR1,PARP_inhibitors,0.001825922285206616,0.002531776980807384,0.7209171194475081,False,3,30
MET,EGFR_inhibitors,0.0018687834963202477,0.0026056110160425304,0.7169399211538342,False,3,30
ERBB2,BRAF_inhibitors,0.0033675716258585453,0.004705272692566116,0.7155496176789453,False,1,30
KIT,BRAF_inhibitors,0.0007268031476996839,0.001028127126240482,0.7062326209928779,False,1,30
CDKN2B,PARP_inhibitors,0.0010276135290041566,0.0014693039372408142,0.6989123153220861,False,3,30
CDKN1A,PI3K_inhibitors,0.004387300228700042,0.006304058774063984,0.6958381175996821,False,2,30
PIK3CD,CDK46_inhibitors,0.0012804369907826185,0.0018505589842485884,0.6915453418851,False,1,30
CDKN2C,CDK46_inhibitors,0.00329203880392015,0.004781665051511178,0.6883272753712838,False,1,30
EGFR,PARP_inhibitors,0.0013335520246376593,0.0019493516398749005,0.6837495338651834,False,3,30
AKT3,PARP_inhibitors,0.001709341110351185,0.0025174207558544973,0.6787353171139219,False,3,30
CDKN2C,BRAF_inhibitors,0.003196357050910592,0.004781665051511178,0.6683213263911592,False,1,30
FGFR2,PI3K_inhibitors,0.0011618536082096398,0.0017466351816741129,0.6648147281497646,False,2,30
CDKN2B,CDK46_inhibitors,0.0009358079987578094,0.0014693039372408142,0.6364724837192202,False,1,30
FGFR3,CDK46_inhibitors,0.0009614969603717327,0.0015876768991195907,0.6052186954468671,False,1,30
MYC,PARP_inhibitors,0.002874852934231361,0.004750946699641645,0.6049842550734333,False,3,30
MGMT,EGFR_inhibitors,0.0017393007486437757,0.0029430128866806625,0.5907925051934183,False,3,30
ERBB2,CDK46_inhibitors,0.0027251550927758217,0.004705272692566116,0.579047426869334,False,1,30
ERBB2,PARP_inhibitors,0.0026723920988539853,0.004705272692566116,0.5678362205987795,False,3,30
PIK3CD,PARP_inhibitors,0.00105076488883545,0.0018505589842485884,0.5675027896893483,False,3,30
MAP4K1,CDK46_inhibitors,0.0005351060535758734,0.0009423045140768712,0.5672675637511757,False,1,30
CDKN2C,PARP_inhibitors,0.002485484117642045,0.004781665051511178,0.5196860099698403,False,3,30
MYC,CDK46_inhibitors,0.0024683463852852583,0.004750946699641645,0.5194389881248882,False,1,30
MAPK13,PARP_inhibitors,0.00117931526619941,0.002302401652559638,0.5119885474115661,False,3,30
CDKN2C,EGFR_inhibitors,0.002402554382570088,0.004781665051511178,0.5023463605946966,False,3,30
FGFR1,CDK46_inhibitors,0.001057290704920888,0.002531776980807384,0.4174432699494335,False,1,30
