gene_name,abs_mean_delta,rank_in_family,drug_family,is_family_target
FGFR1,0.002000529086217284,15,MTOR_inhibitors,False
NOTCH3,0.0019489630940370262,16,MTOR_inhibitors,False
FGFR2,0.001764415530487895,17,MTOR_inhibitors,False
CDKN2B,0.0017146671889349818,18,MTOR_inhibitors,False
FGFR3,0.0015954719274304807,19,MTOR_inhibitors,False
EGFR,0.0015528809744864702,20,MTOR_inhibitors,False
KIT,0.0012756879441440105,21,MTOR_inhibitors,False
MYCN,0.0010903449438046664,22,MTOR_inhibitors,False
BCL2A1,0.0010490211425349116,23,MTOR_inhibitors,False
CCND2,0.0008468380838166922,24,MTOR_inhibitors,False
MAP4K1,0.0007366414938587695,25,MTOR_inhibitors,False
