gene_name,DRUG_NAME,drug_family,n_cells,mean_delta_auc,abs_mean_delta,std_delta_auc,is_known_target,is_family_drug
CCND2,Olaparib,PARP_inhibitors,189,0.00011919730604859069,0.0006616519531235099,0.0008125468157231808,False,True
CCND2,Temsirolimus,MTOR_inhibitors,180,-0.0002373516617808491,0.0008758975309319794,0.0011317315511405468,False,True
CCND2,Gefitinib,EGFR_inhibitors,186,-0.0004452354914974421,0.0006414379458874464,0.0006644677487201989,False,True
CCND2,Niraparib,PARP_inhibitors,170,2.7379568564356305e-05,0.0008622211753390729,0.0010981997475028038,False,True
CCND2,Dabrafenib,BRAF_inhibitors,184,-0.00031080550979822874,0.0007976297056302428,0.0010459254262968898,False,True
CCND2,Palbociclib,CDK46_inhibitors,190,-0.00040752196218818426,0.0007082506199367344,0.0007459330372512341,False,True
CCND2,Lapatinib,EGFR_inhibitors,189,-0.00013945814862381667,0.0007199089741334319,0.0009339702664874494,False,True
CCND2,Dihydrorotenone,background,132,0.0011502614943310618,0.0015887077897787094,0.001971207791939378,False,False
CCND2,PRT062607,background,170,-0.0002034860517596826,0.0006742898258380592,0.0007988745928741992,False,False
CCND2,SCH772984,background,186,0.0006056272541172802,0.0009494582773186266,0.0012682181550189853,False,False
CCND2,GSK2578215A,background,186,-0.0005086916498839855,0.0006611398421227932,0.0006527486257255077,False,False
CCND2,KU-55933,background,187,-0.00046399919665418565,0.0006351748015731573,0.0006530457176268101,False,False
CCND2,Afatinib,background,188,-0.00021359419042710215,0.0008207949576899409,0.0010841365437954664,False,False
CCND2,Obatoclax Mesylate,background,151,-0.000204294323339127,0.0009051585220731795,0.0011196190025657415,False,False
CCND2,MIM1,background,145,-0.00040604863897897303,0.0006289593293331563,0.0006366948946379125,False,False
CCND2,AZD3759,background,189,-0.0006163864745758474,0.0007361627649515867,0.0007184883579611778,False,False
CCND2,720427,background,132,-0.00046064771595411,0.0006278378423303366,0.0006343720597214997,False,False
CCND2,Wee1 Inhibitor,background,186,-0.00036598919541575015,0.00082823057891801,0.0009158795583061874,False,False
CCND2,Avagacestat,background,189,-0.000463495816802606,0.0005664302152581513,0.0005527660250663757,False,False
CCND2,GSK-LSD1-2HCl ,background,146,-0.0004808073863387108,0.0006387931643985212,0.0006350741605274379,False,False
CCND2,AZD6482,background,56,-0.000753480417188257,0.0008535353117622435,0.0006562285125255585,False,False
CCND2,UMI-77,background,145,-0.0008830551523715258,0.0011610051151365042,0.0012126172659918666,False,False
CCND2,Ipatasertib,background,186,-0.0010167491855099797,0.0011561746941879392,0.0011542271822690964,False,False
CCND2,Cyclophosphamide,background,186,-0.000388800137443468,0.0005464851856231689,0.0005587930209003389,False,False
CCND2,776928,background,132,-0.00046064771595411,0.0006278378423303366,0.0006343720597214997,False,False
CCND2,Leflunomide,background,170,4.4393538701115176e-05,0.000559967418666929,0.0006789745530113578,False,False
CCND2,IWP-2,background,170,-0.00035134414792992175,0.0005533800576813519,0.0005814931355416775,False,False
CCND2,AZD5582,background,167,-0.0014168231282383204,0.0019409506348893046,0.0021510219667106867,False,False
CCND2,GSK3337463A,background,132,-0.00046064771595411,0.0006278378423303366,0.0006343720597214997,False,False
CCND2,VE-822,background,170,0.0003035226254723966,0.0009664672543294728,0.0013460011687129736,False,False
CCND2,Entospletinib,background,170,-0.0008259044261649251,0.0009322776459157467,0.0007372169638983905,False,False
CCND2,Schweinfurthin A,background,131,-6.137208401923999e-05,0.0010033611906692386,0.001254867296665907,False,False
CCND2,VE821,background,186,-3.960151661885902e-05,0.0007091276929713786,0.0008854523184709251,False,False
CCND2,615590,background,132,-0.00046064771595411,0.0006278378423303366,0.0006343720597214997,False,False
CCND2,Mitoxantrone,background,132,0.0004636320227291435,0.0014027998549863696,0.0018601440824568272,False,False
CCND2,VTP-A,background,145,-0.00044796959264203906,0.0006206693360581994,0.0006318498053587973,False,False
CCND2,KRAS (G12C) Inhibitor-12,background,170,-6.300316454144195e-05,0.0007118494831956923,0.0008750835550017655,False,False
CDKN1A,Erlotinib,EGFR_inhibitors,185,-0.004249342251569033,0.00486484682187438,0.005197477526962757,False,True
CDKN1A,Venetoclax,BCL2_inhibitors,186,-0.005174335092306137,0.006481417454779148,0.008398286066949368,False,True
CDKN1A,Alpelisib,PI3K_inhibitors,187,-0.004059238359332085,0.00456675048917532,0.004025179427117109,False,True
CDKN1A,Rucaparib,PARP_inhibitors,189,-0.0035977917723357677,0.00422954885289073,0.0037594290915876627,False,True
CDKN1A,Navitoclax,BCL2_inhibitors,190,-0.000393116642953828,0.008488975465297699,0.011732560582458973,False,True
CDKN1A,Buparlisib,PI3K_inhibitors,186,0.001426694099791348,0.004207849968224764,0.005070689134299755,False,True
CDKN1A,Trametinib,MEK_inhibitors,189,-0.01370510645210743,0.013711412437260151,0.010895540937781334,False,True
CDKN1A,Rapamycin,MTOR_inhibitors,185,-0.003675956279039383,0.004493404179811478,0.004579319152981043,False,True
CDKN1A,Selumetinib,MEK_inhibitors,322,-0.00798072386533022,0.008033028803765774,0.006959395483136177,False,True
CDKN1A,Olaparib,PARP_inhibitors,189,-0.006139358505606651,0.006287318654358387,0.00408423226326704,False,True
CDKN1A,Temsirolimus,MTOR_inhibitors,180,-0.0036049068439751863,0.005137826316058636,0.0065023284405469894,False,True
CDKN1A,Gefitinib,EGFR_inhibitors,186,-0.003574656555429101,0.004521689843386412,0.004659465979784727,False,True
CDKN1A,Niraparib,PARP_inhibitors,170,-0.010451436042785645,0.010495413094758987,0.006627673748880625,False,True
CDKN1A,Dabrafenib,BRAF_inhibitors,184,-0.007240269333124161,0.007362421602010727,0.007386545184999704,False,True
CDKN1A,Palbociclib,CDK46_inhibitors,190,-0.005051405634731054,0.005404950585216284,0.003887647297233343,True,True
CDKN1A,Lapatinib,EGFR_inhibitors,189,-5.000735109206289e-05,0.004551690071821213,0.0057528200559318066,False,True
CDKN1A,Dihydrorotenone,background,132,0.002734576119109988,0.007127421908080578,0.0097871795296669,False,False
CDKN1A,PRT062607,background,170,-0.009079565294086933,0.009079565294086933,0.004010733682662249,False,False
CDKN1A,SCH772984,background,186,-0.01142934150993824,0.011460958048701286,0.007680029608309269,False,False
CDKN1A,GSK2578215A,background,186,-0.002618334721773863,0.0038555802311748266,0.0040723057463765144,False,False
CDKN1A,KU-55933,background,187,-0.0019707803148776293,0.0039178975857794285,0.004379021003842354,False,False
CDKN1A,Afatinib,background,188,-0.00447804993018508,0.005753552541136742,0.005963883828371763,False,False
CDKN1A,Obatoclax Mesylate,background,151,0.0008045259164646268,0.005853915587067604,0.007368891965597868,False,False
CDKN1A,MIM1,background,145,-0.003535340540111065,0.004670890513807535,0.00453010993078351,False,False
CDKN1A,AZD3759,background,189,-0.003843979211524129,0.004425414837896824,0.00397305516526103,False,False
CDKN1A,720427,background,132,-0.00387760903686285,0.004390413872897625,0.003724193898960948,False,False
CDKN1A,Wee1 Inhibitor,background,186,0.001694026286713779,0.004447159357368946,0.005243917927145958,False,False
CDKN1A,Avagacestat,background,189,-0.0023736150469630957,0.003859455930069089,0.004075454082340002,False,False
CDKN1A,GSK-LSD1-2HCl ,background,146,-0.003366240067407489,0.004324025474488735,0.004186684265732765,False,False
CDKN1A,AZD6482,background,56,-0.0025843956973403692,0.0037674796767532825,0.004073742311447859,False,False
CDKN1A,UMI-77,background,145,0.0008292457205243409,0.0038939407095313072,0.005058427341282368,False,False
CDKN1A,Ipatasertib,background,186,-0.002440066309645772,0.005050932057201862,0.005954858381301165,False,False
CDKN1A,Cyclophosphamide,background,186,-0.0020553292706608772,0.003525765612721443,0.004018384963274002,False,False
CDKN1A,776928,background,132,-0.00387760903686285,0.004390413872897625,0.003724193898960948,False,False
CDKN1A,Leflunomide,background,170,-0.003722413210198283,0.0045202625915408134,0.0041672722436487675,False,False
CDKN1A,IWP-2,background,170,-0.0022474750876426697,0.003581321332603693,0.003974503837525845,False,False
CDKN1A,AZD5582,background,167,-0.027280276641249657,0.027350854128599167,0.02214960567653179,False,False
CDKN1A,GSK3337463A,background,132,-0.00387760903686285,0.004390413872897625,0.003724193898960948,False,False
CDKN1A,VE-822,background,170,0.0007658281829208136,0.004106219857931137,0.005337893962860107,False,False
CDKN1A,Entospletinib,background,170,-0.005934188142418861,0.005982450675219297,0.0035987577866762877,False,False
CDKN1A,Schweinfurthin A,background,131,-0.008045732043683529,0.008084590546786785,0.004566016141325235,False,False
CDKN1A,VE821,background,186,-0.00279695144854486,0.004162888508290052,0.0041400897316634655,False,False
CDKN1A,615590,background,132,-0.00387760903686285,0.004390413872897625,0.003724193898960948,False,False
CDKN1A,Mitoxantrone,background,132,-0.01900666393339634,0.019251545891165733,0.014559460803866386,False,False
CDKN1A,VTP-A,background,145,-0.003862161422148347,0.004408462904393673,0.0037920766044408083,False,False
CDKN1A,KRAS (G12C) Inhibitor-12,background,170,-0.00406403886154294,0.005097555927932262,0.004703113343566656,False,False
CDKN2A,Erlotinib,EGFR_inhibitors,185,-0.0005368441925384104,0.0020332757849246264,0.002929594600573182,False,True
CDKN2A,Venetoclax,BCL2_inhibitors,186,0.00022960911155678332,0.0014170127687975764,0.0023016217164695263,False,True
CDKN2A,Alpelisib,PI3K_inhibitors,187,0.000417965289670974,0.0016884737415239215,0.002119180280715227,False,True
CDKN2A,Rucaparib,PARP_inhibitors,189,0.0003208726120647043,0.000991501146927476,0.0012817702954635024,False,True
CDKN2A,Navitoclax,BCL2_inhibitors,190,0.00023368863912764937,0.002536050509661436,0.003520061494782567,False,True
CDKN2A,Buparlisib,PI3K_inhibitors,186,0.0022500345949083567,0.002638072706758976,0.002279207343235612,False,True
CDKN2A,Trametinib,MEK_inhibitors,189,0.0016547780251130462,0.0028525867965072393,0.0035499874502420425,False,True
CDKN2A,Rapamycin,MTOR_inhibitors,185,-0.001808331348001957,0.002528174314647913,0.003271515714004636,False,True
CDKN2A,Selumetinib,MEK_inhibitors,322,0.0009225757676176727,0.0017468647565692663,0.002173289656639099,False,True
CDKN2A,Olaparib,PARP_inhibitors,189,0.001521881902590394,0.0016878219321370125,0.0017920880345627666,False,True
CDKN2A,Temsirolimus,MTOR_inhibitors,180,-0.0007870681001804769,0.0024489148054271936,0.0036102167796343565,False,True
CDKN2A,Gefitinib,EGFR_inhibitors,186,-0.0004436492163222283,0.00150093634147197,0.002128580817952752,False,True
CDKN2A,Niraparib,PARP_inhibitors,170,0.0017334672156721354,0.0019785475451499224,0.0021186424419283867,False,True
CDKN2A,Dabrafenib,BRAF_inhibitors,184,0.0013588633155450225,0.001834144932217896,0.002828001044690609,False,True
CDKN2A,Palbociclib,CDK46_inhibitors,190,0.0021789008751511574,0.002244949573650956,0.001641713548451662,False,True
CDKN2A,Lapatinib,EGFR_inhibitors,189,-0.0035707522183656693,0.004112157970666885,0.004476891364902258,False,True
