DRUG_ID,DRUG_NAME,smiles,cancer_type,seed_drug,mw,logp,qed,tanimoto_to_seed,mean_vh_fp_original,mean_vh_fp,mean_vh_proxy,nn_tanimoto,nn_drug_name,nn_local_idx,nn_has_kg,seed_vh_fp,seed_vh_proxy,seed_nn_drug_name,seed_nn_tanimoto,delta_fp,improved_fp,delta_proxy_fair,improved_proxy_fair
90100,erlotinib_analogue_0100,N#Cc1cc2c(-c3cccc4[nH]c(C#N)cc34)cccc2[nH]1,TCGA-LUAD,erlotinib,282.31,4.06,0.5518,0.125,0.4996,0.4996,0.492944,0.18,pardoprunox,337,True,0.494369,0.47028,erlotinib,1.0,-0.005231,False,-0.022665,False
90349,erlotinib_analogue_0349,C#Cc1cccc(-c2ccnc(N)n2)c1,TCGA-LUAD,erlotinib,195.22,1.707,0.7045,0.2539682539682539,0.501199,0.501199,0.492975,0.26087,TG-02,386,True,0.494369,0.47028,erlotinib,1.0,-0.006829,False,-0.022696,False
90032,erlotinib_analogue_0032,Fc1ccccc1-c1ccccc1F,TCGA-LUAD,erlotinib,190.19,3.632,0.6437,0.0714285714285714,0.500827,0.500827,0.493035,0.272727,brequinar,1381,True,0.494369,0.47028,erlotinib,1.0,-0.006458,False,-0.022756,False
90124,erlotinib_analogue_0124,COc1cnc(C)cc1O,TCGA-LUAD,erlotinib,139.15,1.104,0.6332,0.1475409836065573,0.500873,0.500873,0.493066,0.285714,curcumin,282,True,0.494369,0.47028,erlotinib,1.0,-0.006504,False,-0.022786,False
90128,erlotinib_analogue_0128,COc1c(C)cccc1Cl,TCGA-LUAD,erlotinib,156.61,2.657,0.6076,0.1525423728813559,0.500949,0.500949,0.493132,0.363636,mexiletine,127,True,0.494369,0.47028,erlotinib,1.0,-0.00658,False,-0.022853,False
90260,erlotinib_analogue_0260,C#Cc1cccc(N2CCCN(C)CC2)c1,TCGA-LUAD,erlotinib,214.31,1.81,0.6578,0.2307692307692307,0.500404,0.500403,0.493146,0.288462,pardoprunox,337,True,0.494369,0.47028,erlotinib,1.0,-0.006034,False,-0.022866,False
90082,erlotinib_analogue_0082,c1cc2c(cc1-c1ccc3c(c1)OCCO3)OCCO2,TCGA-LUAD,erlotinib,270.28,2.896,0.7981,0.0655737704918032,0.499866,0.499866,0.493313,0.277778,idronoxil,1132,True,0.494369,0.47028,erlotinib,1.0,-0.005496,False,-0.023033,False
90289,erlotinib_analogue_0289,C#Cc1cccc(-c2ccc(F)cc2N)c1,TCGA-LUAD,erlotinib,211.24,3.056,0.569,0.21875,0.502562,0.502562,0.49337,0.229508,VX-702,284,True,0.494369,0.47028,erlotinib,1.0,-0.008192,False,-0.02309,False
90127,erlotinib_analogue_0127,CO[C@@]1(O)[C@@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,TCGA-LUAD,erlotinib,364.46,2.938,0.7023,0.053763440860215,0.506701,0.506701,0.493405,0.666667,dexamethasone-acetate,783,True,0.494369,0.47028,erlotinib,1.0,-0.012331,False,-0.023125,False
90078,erlotinib_analogue_0078,CO[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,TCGA-LUAD,erlotinib,364.46,2.938,0.7023,0.053763440860215,0.506701,0.506701,0.493405,0.666667,dexamethasone-acetate,783,True,0.494369,0.47028,erlotinib,1.0,-0.012331,False,-0.023125,False
90021,erlotinib_analogue_0021,N=C(N)c1ccc(-c2ccc(C(=N)N)cc2)cc1,TCGA-LUAD,erlotinib,238.29,1.922,0.4848,0.05,0.501646,0.501646,0.493499,0.481481,pentamidine,364,True,0.494369,0.47028,erlotinib,1.0,-0.007277,False,-0.023219,False
90119,erlotinib_analogue_0119,Cc1cc(C)c(-c2c(C)cc(C)cc2C)c(C)c1,TCGA-LUAD,erlotinib,238.37,5.204,0.6399,0.0727272727272727,0.503321,0.503321,0.493526,0.216216,gossypol,451,True,0.494369,0.47028,erlotinib,1.0,-0.008951,False,-0.023247,False
90151,erlotinib_analogue_0151,Fc1ccc(-c2ccc(F)cc2F)c(F)c1,TCGA-LUAD,erlotinib,226.17,3.91,0.6465,0.0689655172413793,0.503321,0.503321,0.493635,0.311111,VX-702,284,True,0.494369,0.47028,erlotinib,1.0,-0.008952,False,-0.023355,False
90238,erlotinib_analogue_0238,C#Cc1cccc(-n2c(=O)c(O)c(C)n2C)c1,TCGA-LUAD,erlotinib,228.25,1.171,0.7447,0.2388059701492537,0.501806,0.501807,0.49369,0.326087,phenazone,774,True,0.494369,0.47028,erlotinib,1.0,-0.007437,False,-0.02341,False
