DRUG_ID,DRUG_NAME,n_genes_tested,max_abs_delta,mean_abs_delta,top5_genes,n_known_targets
1553,Uprosertib,79,0.009565615095198154,0.002789735762384732,FADS1|CDKN2C|RPS28P7|TCEAL4|ITM2C,0
1813,Fludarabine,79,0.00952690839767456,0.0024795335521508905,CDKN1A|MYC|RPS28P7|FADS1|CHCHD10,0
1170,CCT-018159,79,0.009314133785665035,0.0020026571759836206,CDKN1A|IL4R|ITM2C|RPS28P7|GFOD3P,0
1736,Selumetinib,79,0.009277021512389183,0.0023833683340462467,CDKN1A|RPS28P7|MYC|ITM2C|TCEAL4,0
1835,Elephantin,79,0.009260741993784904,0.002158597793984168,CDKN1A|ITM2C|RPS28P7|IL4R|MYC,0
1939,UMI-77,79,0.009103081189095974,0.0020572677187627487,RPS28P7|MYC|FADS1|CHCHD10|ITM2C,0
1631,PRT062607,79,0.009079565294086933,0.0025137667492609707,CDKN1A|FADS1|MYC|GFOD3P|CDKN2C,0
1050,ZM447439,79,0.008844823576509953,0.0022854644059545444,IL4R|RPS28P7|CDKN2C|CDKN1A|FGFR1,0
1131,PRIMA-1MET,79,0.008738807402551174,0.0023609898421512563,ITM2C|CDKN1A|GFOD3P|RPS28P7|IL4R,0
1918,AZD8186,79,0.008549775928258896,0.0022687933840965734,RPS28P7|CDKN2C|ITM2C|MGMT|CHCHD10,0
1149,TW 37,79,0.00853403378278017,0.002247674748024467,RPS28P7|CHCHD10|IL4R|TCEAL4|CDKN2C,0
1083,Crizotinib,79,0.008520841598510742,0.0020442864462686112,CDKN1A|IL4R|RPS28P7|CDKN2C|FADS1,1
1243,Piperlongumine,79,0.008490195497870445,0.00207992936145585,IL4R|ITM2C|CDKN1A|CDKN2C|RPS28P7,0
1714,ERK_6604,79,0.00848396960645914,0.002024559164493451,CDKN1A|RPS28P7|MYC|CHCHD10|ITM2C,0
2010,HKMTI-1-005,79,0.008279691450297832,0.0018942339450439226,CDKN1A|RPS28P7|IL4R|CHCHD10|TCEAL4,0
2047,Ulixertinib,79,0.00825132429599762,0.0020208435959795704,CDKN1A|RPS28P7|MYC|CHCHD10|ITM2C,0
1812,Bleomycin,79,0.008230664767324924,0.0015648430507317704,CDKN1A|RPS28P7|ITM2C|IL4R|CHCHD10,0
2169,AZD6482,79,0.00818908866494894,0.0018210115734210732,ITM2C|RPS28P7|CDKN2C|MYC|CDKN1A,0
1038,NU7441,79,0.00813228078186512,0.00213321773379546,CDKN2C|RPS28P7|GFOD3P|FADS1|ITM2C,0
1811,Dactinomycin,79,0.008092636242508888,0.001475553492473179,CDKN1A|RPS28P7|IL4R|ITM2C|MYC,0
1062,Selumetinib,79,0.008024684153497219,0.0023068055853872455,RPS28P7|CDKN1A|MYC|CHCHD10|FADS1,0
2109,AZ6102,79,0.007999937050044537,0.0017219556961945387,IL4R|CDKN1A|RPS28P7|TCEAL4|ITM2C,0
1908,Ulixertinib,79,0.007934288121759892,0.0020203574216494315,CDKN1A|RPS28P7|MYC|CHCHD10|ITM2C,0
2159,UNC0379,79,0.007916138507425785,0.0017307658231805398,CDKN1A|RPS28P7|CHCHD10|IL4R|CDKN2C,0
1194,SB505124,79,0.007902443408966064,0.0018157958324933779,ITM2C|RPS28P7|IL4R|TCEAL4|CDKN1A,0
1816,Fulvestrant,79,0.007897911593317986,0.0015957057266054039,RPS28P7|ITM2C|CDKN1A|ETV5|IL4R,0
1037,BX795,79,0.007888434454798698,0.001933585511243466,IL4R|RPS28P7|CDKN1A|MYC|FADS1,0
1919,Osimertinib,79,0.007717641536146402,0.0017498852272482613,ERBB2|RPS28P7|ITM2C|CDKN1A|FGFR4,0
1940,WIKI4,79,0.0075641172006726265,0.0016345696467051543,RPS28P7|IL4R|ERBB2|CDKN1A|ITM2C,0
1853,OF-1,79,0.007407373748719692,0.0019028799857390172,RPS28P7|ITM2C|ETV5|FGFR1|FADS1,0
1069,EHT-1864,79,0.0074063572101294994,0.0016887696191692089,RPS28P7|ITM2C|ETV5|FADS1|ERBB2,0
1016,Temsirolimus,79,0.007379765156656504,0.002433074806976026,CHCHD10|RPS28P7|ITM2C|FADS1|GFOD3P,0
1373,Dabrafenib,79,0.007362421602010727,0.0020485835225775226,CDKN1A|ITM2C|RPS28P7|MYC|IL4R,0
1052,RO-3306,79,0.00732007110491395,0.0019355222705863652,IL4R|RPS28P7|CDKN2C|CDKN1A|ITM2C,0
1012,Vorinostat,79,0.007301503326743841,0.002214437358735624,RPS28P7|FADS1|MYC|CDKN1A|ITM2C,0
1913,AGI-5198,79,0.0072530219331383705,0.001484789955208691,RPS28P7|ITM2C|ETV5|CDKN1A|IL4R,0
1922,Cediranib,79,0.007242660503834486,0.00217560988473647,RPS28P7|CDKN1A|ERBB2|ITM2C|MYC,0
1618,GSK2606414,79,0.007109666708856821,0.0016319116240785798,CDKN1A|RPS28P7|ERBB2|IL4R|GFOD3P,0
1786,AZD4547,79,0.007090908940881491,0.001735290253455338,RPS28P7|IL4R|CDKN1A|ETV5|MYC,3
1168,Erlotinib,79,0.007008626125752926,0.0018316434487800667,ERBB2|RPS28P7|CDKN1A|FGFR1|ITM2C,1
1581,Bromosporine,79,0.006980179343372583,0.0017776848303295578,ITM2C|MYC|CDKN1A|FADS1|GFOD3P,0
1084,Rapamycin,79,0.00697058392688632,0.002140404312441102,ITM2C|CHCHD10|GFOD3P|RPS28P7|FADS1,0
2111,VE821,79,0.006967006251215935,0.0018267146406748297,IL4R|CDKN2C|TCEAL4|RPS28P7|ITM2C,0
1049,PD173074,79,0.006962215062230825,0.0016626728856287709,CDKN1A|RPS28P7|IL4R|CDKN2C|OAF,0
2360,THR-101,79,0.006936332676559687,0.0015235861190123177,RPS28P7|ITM2C|CDKN1A|IL4R|ERBB2,0
1557,LCL161,79,0.006934614852070808,0.001522430944141543,ITM2C|RPS28P7|CDKN1A|ERBB2|IL4R,0
2057,Remodelin,79,0.006882298272103071,0.001992737280891595,RPS28P7|ITM2C|ETV5|MYC|MGMT,0
1030,KU-55933,79,0.006776146590709686,0.0014641096117711755,RPS28P7|ITM2C|ERBB2|CDKN1A|IL4R,0
1598,LGK974,79,0.006765028927475214,0.001550074987617451,RPS28P7|ITM2C|ETV5|FADS1|ERBB2,0
1855,KRAS (G12C) Inhibitor-12,79,0.006751216948032379,0.0016297808361292782,ITM2C|RPS28P7|IL4R|CDKN1A|CDKN2C,0
1560,Alpelisib,79,0.006714822258800268,0.0020259599152752023,GFOD3P|RPS28P7|CDKN2C|CDKN1A|MET,0
1614,WZ4003,79,0.006711078342050314,0.0016592782281068025,CDKN1A|ITM2C|RPS28P7|ERBB2|TCEAL4,0
1925,GDC0810,79,0.006698647979646921,0.001323464461395965,RPS28P7|ITM2C|ERBB2|ETV5|CDKN1A,0
1093,GSK1904529A,79,0.006677158176898956,0.0014207734920886122,RPS28P7|IL4R|ITM2C|ERBB2|CDKN1A,0
2158,CPI-637,79,0.006621916778385639,0.001779516743675841,MYC|ITM2C|FADS1|CDKN1A|RPS28P7,0
1199,Tamoxifen,79,0.00661137280985713,0.0016089111428024083,RPS28P7|ERBB2|ITM2C|CDKN1A|OSBPL10,0
1192,GSK269962A,79,0.006563390139490366,0.0022888658509318586,ETV5|ITM2C|RPS28P7|MYC|FGFR1,0
1048,Mirin,79,0.006525377742946148,0.0018678616383849772,ITM2C|RPS28P7|CDKN2C|IL4R|CDKN1A,0
1778,GSK2110183B,79,0.006518196780234575,0.0018910488804148016,RPS28P7|CDKN2C|ITM2C|MYC|ERBB2,0
1815,Dacarbazine,79,0.006495311856269836,0.0013323860114758622,RPS28P7|ITM2C|CDKN1A|ERBB2|ETV5,0
2498,alpha-lipoic acid,79,0.006482542026787996,0.0014306842496830828,RPS28P7|ITM2C|CDKN1A|IL4R|ERBB2,0
2043,BIBR-1532,79,0.00647738017141819,0.001434044086498126,RPS28P7|IL4R|ITM2C|CDKN1A|ERBB2,0
1996,MIM1,79,0.006463436409831047,0.0015697018162323798,IL4R|ITM2C|RPS28P7|CDKN1A|MYC,0
1042,Doramapimod,79,0.006447260268032551,0.001477907408070102,RPS28P7|ITM2C|CDKN1A|ETV5|ERBB2,0
1061,SB590885,79,0.006438800133764744,0.0014893036874311775,RPS28P7|ITM2C|CDKN1A|IL4R|FADS1,0
1033,Vismodegib,79,0.006424652878195047,0.0013369984546811851,RPS28P7|ITM2C|CDKN1A|ERBB2|FADS1,0
1502,Bicalutamide,79,0.006419956684112549,0.0012888744450616355,RPS28P7|ITM2C|ETV5|IL4R|ERBB2,0
1133,Serdemetan,79,0.006416625343263149,0.0015109768678888066,CDKN1A|IL4R|ITM2C|RPS28P7|CDKN2C,0
1085,Sorafenib,79,0.006414277479052544,0.0020100874026877736,RPS28P7|ERBB2|CDKN1A|CHCHD10|ITM2C,0
1622,Wnt-C59,79,0.0064072678796947,0.0015175018265778553,RPS28P7|ITM2C|ERBB2|IL4R|CDKN1A,0
2359,GSK2830371,79,0.0064016347751021385,0.0014240253279044564,RPS28P7|ITM2C|ERBB2|IL4R|CDKN1A,0
1023,GW441756,79,0.006355376448482275,0.0014323627987369613,RPS28P7|IL4R|ERBB2|ITM2C|CDKN1A,0
1200,Fulvestrant,79,0.006349910516291857,0.0013552694872487336,RPS28P7|ITM2C|ERBB2|ETV5|CDKN1A,0
2011,ICL-SIRT078,79,0.0063082994893193245,0.0017567950387815414,RPS28P7|IL4R|CDKN1A|ERBB2|TCEAL4,0
2439,glutathione,79,0.006306331139057875,0.001398228790059898,RPS28P7|ITM2C|CDKN1A|ETV5|FADS1,0
1017,Olaparib,79,0.006287318654358387,0.0015255804158912241,CDKN1A|ITM2C|RPS28P7|ETV5|IL4R,0
1838,Sinularin,79,0.006273138336837292,0.001473009246298336,ITM2C|RPS28P7|CDKN1A|IL4R|ERBB2,0
1072,Avagacestat,79,0.006267174147069454,0.0013696093162333099,RPS28P7|ITM2C|ERBB2|CDKN1A|ETV5,0
1933,P22077,79,0.006254552397876978,0.0017319681996750774,RPS28P7|IL4R|CDKN2C|CDKN1A|FADS1,0
1915,AZD3759,79,0.006252080202102661,0.0015097925895559779,RPS28P7|CDKN1A|ITM2C|ERBB2|IL4R,0
1013,Nilotinib,79,0.006227456033229828,0.0018473309066877523,RPS28P7|ITM2C|IL4R|CDKN2C|CDKN1A,0
1854,MN-64,79,0.006223700940608978,0.0014335167357739343,RPS28P7|ITM2C|IL4R|CDKN1A|ETV5,0
2499,N-acetyl cysteine,79,0.006217835936695337,0.0014321865142570645,RPS28P7|CDKN1A|IL4R|ITM2C|ETV5,0
1043,JNK Inhibitor VIII,79,0.006202096585184336,0.0014211817130982828,RPS28P7|ITM2C|IL4R|CDKN1A|ETV5,0
1025,SB216763,79,0.006187616381794214,0.0014017814441725518,RPS28P7|CDKN1A|IL4R|ITM2C|ETV5,0
2045,AMG-319,79,0.006162578240036964,0.0013645680660317075,RPS28P7|ITM2C|CDKN1A|ERBB2|ETV5,0
1831,L-Oxonoreleagnine,79,0.006142133846879005,0.0014136280474706872,RPS28P7|ITM2C|CDKN1A|IL4R|ETV5,0
2107,LJI308,79,0.006133107468485832,0.001436302429168261,RPS28P7|ITM2C|CDKN1A|IL4R|ERBB2,0
