gene_name,DRUG_ID,DRUG_NAME,n_test_cells,mean_delta_auc,std_delta_auc,abs_mean_delta,frac_positive,is_known_target
GFOD3P,1614,WZ4003,170,0.0013680784031748772,0.0018788344459608197,0.0018594198627397418,0.7529411764705882,False
GFOD3P,1615,CZC24832,170,0.0012051379308104515,0.0018219022313132882,0.0018053608946502209,0.7529411764705882,False
GFOD3P,1617,AZD5582,167,0.004236482083797455,0.006248154677450657,0.005796705838292837,0.8083832335329342,False
GFOD3P,1618,GSK2606414,170,0.004219809081405401,0.0029462554957717657,0.004248483572155237,0.9705882352941176,False
GFOD3P,1620,PFI3,170,0.001033139880746603,0.0018801777623593807,0.0017454224871471524,0.7470588235294118,False
GFOD3P,1621,PCI-34051,170,0.001782494131475687,0.0018748781876638532,0.002134953858330846,0.8470588235294118,False
GFOD3P,1622,Wnt-C59,170,0.0017328661633655429,0.0018834784859791398,0.002172579523175955,0.7764705882352941,False
GFOD3P,1624,I-BET-762,170,0.00848380383104086,0.005637310445308685,0.00848380383104086,1.0,False
GFOD3P,1625,RVX-208,170,0.0027834593784064054,0.0017801529029384255,0.00290879188105464,0.9352941176470588,False
GFOD3P,1626,OTX015,170,0.013183069415390491,0.007727987132966518,0.013183069415390491,1.0,False
GFOD3P,1627,GSK343,170,0.0011755508603528142,0.001917637069709599,0.0018871048232540488,0.7470588235294118,False
GFOD3P,1629,ML323,168,0.0025151968002319336,0.002352880546823144,0.0029145856387913227,0.8511904761904762,False
GFOD3P,1630,Entospletinib,170,0.0043242210522294044,0.0023441375233232975,0.0043242210522294044,1.0,False
GFOD3P,1631,PRT062607,170,0.00649165827780962,0.003188167465850711,0.0065068737603724,0.9882352941176471,False
GFOD3P,1632,Ribociclib,188,0.0009502518223598599,0.0019283065339550376,0.0017678182339295745,0.723404255319149,False
GFOD3P,1634,AGI-6780,170,0.00154418486636132,0.0017095539951696992,0.0018472661031410098,0.8,False
GFOD3P,1635,Picolinici-acid,170,0.001106585143133998,0.001903775380924344,0.0018194952281191945,0.7470588235294118,False
GFOD3P,1706,AZD5153,133,0.0145478006452322,0.008455412462353706,0.0145478006452322,1.0,False
GFOD3P,1712,Eg5_9814,132,0.0060364846140146255,0.004057473503053188,0.0061844210140407085,0.9393939393939394,False
GFOD3P,1713,ERK_2440,133,0.0043212659657001495,0.004716117866337299,0.004585025832056999,0.9172932330827067,False
GFOD3P,1714,ERK_6604,133,0.002352577168494463,0.0031205075792968273,0.002872332464903593,0.7894736842105263,False
