DRUG_NAME,alpha_chembl,alpha_drkg,alpha_primekg,alpha_total,kg_class,n_test_cells
Podophyllotoxin bromide,0.0,0.0,0.0,0.0,KG-silent,132
Pyridostatin,0.0,0.0,0.0,0.0,KG-silent,186
RO-3306,0.0,0.0,0.0,0.0,KG-silent,187
Remodelin,0.0,0.0,0.0,0.0,KG-silent,72
POMHEX,0.0,0.0,0.0,0.0,KG-silent,146
PRT062607,0.0,0.0,0.0,0.0,KG-silent,170
Picolinici-acid,0.0,0.0,0.0,0.0,KG-silent,170
PBD-288,0.0,0.0,0.0,0.0,KG-silent,146
PCI-34051,0.0,0.0,0.0,0.0,KG-silent,170
PD0325901,0.0,0.0,0.0,0.0,KG-silent,189
PD173074,0.0,0.0,0.0,0.0,KG-silent,190
PF-4708671,0.0,0.0,0.0,0.0,KG-silent,56
CCT007093,0.0,0.0,0.0,0.0,KG-silent,186
CHIR-99021,0.0,0.0,0.0,0.0,KG-silent,44
BIBR-1532,0.0,0.0,0.0,0.0,KG-silent,186
BMS-345541,0.0,0.0,0.0,0.0,KG-silent,170
BMS-536924,0.0,0.0,0.0,0.0,KG-silent,186
BPD-00008900,0.0,0.0,0.0,0.0,KG-silent,145
BX795,0.0,0.0,0.0,0.0,KG-silent,44
Bleomycin,0.0,0.0,0.0,0.0,KG-silent,132
GSK2256098C,0.0,0.0,0.0,0.0,KG-silent,132
GSK2276186C,0.0,0.0,0.0,0.0,KG-silent,132
GSK2578215A,0.0,0.0,0.0,0.0,KG-silent,186
GSK2606414,0.0,0.0,0.0,0.0,KG-silent,170
GSK269962A,0.0,0.0,0.0,0.0,KG-silent,56
GSK2801,0.0,0.0,0.0,0.0,KG-silent,132
GSK2830371,0.0,0.0,0.0,0.0,KG-silent,147
GSK2830371A,0.0,0.0,0.0,0.0,KG-silent,132
GNE-317,0.0,0.0,0.0,0.0,KG-silent,184
GSK-LSD1,0.0,0.0,0.0,0.0,KG-silent,132
GSK-LSD1-2HCl ,0.0,0.0,0.0,0.0,KG-silent,146
GSK1904529A,0.0,0.0,0.0,0.0,KG-silent,187
Eg5_9814,0.0,0.0,0.0,0.0,KG-silent,132
Elephantin,0.0,0.0,0.0,0.0,KG-silent,132
Elesclomol,0.0,0.0,0.0,0.0,KG-silent,44
Schweinfurthin A,0.0,0.0,0.0,0.0,KG-silent,131
SB216763,0.0,0.0,0.0,0.0,KG-silent,187
SB505124,0.0,0.0,0.0,0.0,KG-silent,47
SB590885,0.0,0.0,0.0,0.0,KG-silent,189
SCH772984,0.0,0.0,0.0,0.0,KG-silent,186
Dihydrorotenone,0.0,0.0,0.0,0.0,KG-silent,132
CPI-637,0.0,0.0,0.0,0.0,KG-silent,146
CT7033-2,0.0,0.0,0.0,0.0,KG-silent,146
CZC24832,0.0,0.0,0.0,0.0,KG-silent,170
Bromosporine,0.0,0.0,0.0,0.0,KG-silent,132
PFI-1,0.0,0.0,0.0,0.0,KG-silent,188
PFI3,0.0,0.0,0.0,0.0,KG-silent,170
OTX015,0.0,0.0,0.0,0.0,KG-silent,170
P22077,0.0,0.0,0.0,0.0,KG-silent,186
PAK_5339,0.0,0.0,0.0,0.0,KG-silent,132
Wnt-C59,0.0,0.0,0.0,0.0,KG-silent,170
XAV939,0.0,0.0,0.0,0.0,KG-silent,170
YK-4-279,0.0,0.0,0.0,0.0,KG-silent,186
ZM447439,0.0,0.0,0.0,0.0,KG-silent,189
